ms,valve_a_pct,valve_b_pct,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x1B,tension_0x2B,enc_deg
0,20.0,95.0,830,1.013,5.0,832,1.016,5.4,,,0.000
50,20.0,95.0,830,1.013,5.0,832,1.016,5.4,,,0.000
100,20.1,95.0,830,1.013,5.0,832,1.016,5.4,,,0.000
150,20.2,95.0,830,1.013,5.0,832,1.016,5.4,,,0.000
200,20.3,95.0,1488,1.817,124.9,1740,2.125,170.8,2.17237,2.42617,0.000
250,20.5,95.0,1488,1.817,124.9,1740,2.125,170.8,2.17237,2.42617,0.000
300,20.7,95.0,1488,1.817,124.9,1740,2.125,170.8,2.17237,2.42617,0.000
350,21.0,95.0,1488,1.817,124.9,1740,2.125,170.8,2.17237,2.42617,0.000
400,21.3,95.0,1505,1.838,128.0,2093,2.556,235.2,2.17233,2.42558,0.703
450,21.6,95.0,1505,1.838,128.0,2093,2.556,235.2,2.17233,2.42558,0.703
500,22.0,95.0,1505,1.838,128.0,2093,2.556,235.2,2.17233,2.42558,0.703
550,22.4,95.0,1505,1.838,128.0,2093,2.556,235.2,2.17233,2.42558,10.195
600,22.8,95.0,1505,1.838,128.0,2093,2.556,235.2,2.17233,2.42558,10.195
650,23.3,95.0,1574,1.922,140.6,2527,3.085,314.3,2.20028,2.42745,10.195
700,23.8,95.0,1574,1.922,140.6,2527,3.085,314.3,2.20028,2.42745,15.117
750,24.4,95.0,1574,1.922,140.6,2527,3.085,314.3,2.20028,2.42745,15.117
800,25.0,95.0,1574,1.922,140.6,2527,3.085,314.3,2.20028,2.42745,16.699
850,25.6,94.4,1574,1.922,140.6,2527,3.085,314.3,2.20028,2.42745,16.699
900,26.2,93.8,1659,2.026,156.1,2990,3.651,398.6,2.35311,2.49933,16.699
950,26.9,93.1,1659,2.026,156.1,2990,3.651,398.6,2.35311,2.49933,19.512
1000,27.6,92.4,1659,2.026,156.1,2990,3.651,398.6,2.35311,2.49933,19.512
1050,28.4,91.6,1659,2.026,156.1,2990,3.651,398.6,2.35311,2.49933,19.688
1100,29.2,90.8,1757,2.145,173.9,3339,4.077,462.2,2.44986,2.54554,19.688
1150,30.0,90.0,1757,2.145,173.9,3339,4.077,462.2,2.44986,2.54554,19.688
1200,30.8,89.2,1757,2.145,173.9,3339,4.077,462.2,2.44986,2.54554,19.951
1250,31.7,88.3,1757,2.145,173.9,3339,4.077,462.2,2.44986,2.54554,19.951
1300,32.6,87.4,1757,2.145,173.9,3339,4.077,462.2,2.44986,2.54554,20.039
1350,33.5,86.5,1884,2.300,197.1,3658,4.466,520.4,2.57845,2.58368,20.039
1400,34.5,85.5,1884,2.300,197.1,3658,4.466,520.4,2.57845,2.58368,19.600
1450,35.5,84.5,1884,2.300,197.1,3658,4.466,520.4,2.57845,2.58368,19.600
1500,36.5,83.5,1884,2.300,197.1,3658,4.466,520.4,2.57845,2.58368,19.600
1550,37.5,82.5,1884,2.300,197.1,3658,4.466,520.4,2.57845,2.58368,17.490
1600,38.6,81.4,2046,2.498,226.6,3533,4.314,497.6,2.63452,2.59508,17.490
1650,39.6,80.4,2046,2.498,226.6,3533,4.314,497.6,2.63452,2.59508,15.029
1700,40.7,79.3,2046,2.498,226.6,3533,4.314,497.6,2.63452,2.59508,15.029
1750,41.8,78.2,2046,2.498,226.6,3533,4.314,497.6,2.63452,2.59508,12.744
1800,43.0,77.0,2046,2.498,226.6,3533,4.314,497.6,2.63452,2.59508,12.744
1850,44.1,75.9,2231,2.724,260.3,3335,4.072,461.5,2.65527,2.60728,10.371
1900,45.3,74.7,2231,2.724,260.3,3335,4.072,461.5,2.65527,2.60728,10.371
1950,46.5,73.5,2231,2.724,260.3,3335,4.072,461.5,2.65527,2.60728,10.371
2000,47.6,72.4,2231,2.724,260.3,3335,4.072,461.5,2.65527,2.60728,6.768
2050,48.8,71.2,2231,2.724,260.3,3335,4.072,461.5,2.65527,2.60728,6.768
2100,50.1,69.9,2418,2.952,294.4,3132,3.824,424.5,2.69224,2.61589,4.219
2150,51.3,68.7,2418,2.952,294.4,3132,3.824,424.5,2.69224,2.61589,4.219
2200,52.5,67.5,2418,2.952,294.4,3132,3.824,424.5,2.69224,2.61589,4.219
2250,53.7,66.3,2418,2.952,294.4,3132,3.824,424.5,2.69224,2.61589,0.352
2300,55.0,65.0,2418,2.952,294.4,3132,3.824,424.5,2.69224,2.61589,0.352
2350,56.2,63.8,2618,3.197,330.8,2933,3.581,388.2,2.71629,2.62182,0.352
2400,57.5,62.5,2618,3.197,330.8,2933,3.581,388.2,2.71629,2.62182,-3.516
2450,58.7,61.3,2618,3.197,330.8,2933,3.581,388.2,2.71629,2.62182,-3.516
2500,60.0,60.0,2618,3.197,330.8,2933,3.581,388.2,2.71629,2.62182,-3.516
2550,61.3,58.7,2618,3.197,330.8,2933,3.581,388.2,2.71629,2.62182,-7.646
2600,62.5,57.5,2821,3.444,367.8,2731,3.335,351.4,2.71957,2.62339,-7.646
2650,63.8,56.2,2821,3.444,367.8,2731,3.335,351.4,2.71957,2.62339,-10.195
2700,65.0,55.0,2821,3.444,367.8,2731,3.335,351.4,2.71957,2.62339,-10.195
2750,66.3,53.7,2821,3.444,367.8,2731,3.335,351.4,2.71957,2.62339,-10.195
2800,67.5,52.5,2821,3.444,367.8,2731,3.335,351.4,2.71957,2.62339,-14.414
2850,68.7,51.3,3033,3.703,406.5,2542,3.104,317.0,2.71920,2.62302,-14.414
2900,69.9,50.1,3033,3.703,406.5,2542,3.104,317.0,2.71920,2.62302,-17.051
2950,71.2,48.8,3033,3.703,406.5,2542,3.104,317.0,2.71920,2.62302,-17.051
3000,72.4,47.6,3033,3.703,406.5,2542,3.104,317.0,2.71920,2.62302,-17.051
3050,73.6,46.4,3211,3.921,438.9,2374,2.899,286.4,2.71543,2.62224,-21.094
