ms,valve_a_pct,valve_b_pct,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
0,20.0,100.0,837,1.022,6.3,823,1.005,3.7,,,0.000
50,20.0,100.0,837,1.022,6.3,823,1.005,3.7,,,0.000
100,20.1,99.9,837,1.022,6.3,823,1.005,3.7,,,0.000
150,20.2,99.8,837,1.022,6.3,823,1.005,3.7,,,0.000
200,20.3,99.7,1485,1.813,124.4,1690,2.063,161.7,2.19671,2.26721,0.000
250,20.5,99.5,1485,1.813,124.4,1690,2.063,161.7,2.19671,2.26721,0.000
300,20.7,99.3,1485,1.813,124.4,1690,2.063,161.7,2.19671,2.26721,0.000
350,21.0,99.0,1485,1.813,124.4,1690,2.063,161.7,2.19671,2.26721,0.000
400,21.3,98.7,1485,1.813,124.4,1690,2.063,161.7,2.19671,2.26721,0.000
450,21.6,98.4,1514,1.849,129.7,2130,2.601,241.9,2.19690,2.26753,0.439
500,22.0,98.0,1514,1.849,129.7,2130,2.601,241.9,2.19690,2.26753,0.439
550,22.4,97.6,1514,1.849,129.7,2130,2.601,241.9,2.19690,2.26753,0.439
600,22.8,97.2,1514,1.849,129.7,2130,2.601,241.9,2.19690,2.26753,5.010
650,23.3,96.7,1572,1.919,140.2,2476,3.023,305.0,2.19664,2.26724,5.010
700,23.8,96.2,1572,1.919,140.2,2476,3.023,305.0,2.19664,2.26724,5.010
750,24.4,95.6,1572,1.919,140.2,2476,3.023,305.0,2.19664,2.26724,9.492
800,24.9,95.1,1572,1.919,140.2,2476,3.023,305.0,2.19664,2.26724,9.492
850,25.6,94.4,1572,1.919,140.2,2476,3.023,305.0,2.19664,2.26724,11.865
900,26.2,93.8,1662,2.029,156.6,2886,3.524,379.7,2.19735,2.26737,11.865
950,26.9,93.1,1662,2.029,156.6,2886,3.524,379.7,2.19735,2.26737,11.865
1000,27.6,92.4,1662,2.029,156.6,2886,3.524,379.7,2.19735,2.26737,13.887
1050,28.4,91.6,1662,2.029,156.6,2886,3.524,379.7,2.19735,2.26737,13.887
1100,29.2,90.8,1753,2.140,173.2,3182,3.885,433.6,2.19727,2.26751,13.887
1150,30.0,90.0,1753,2.140,173.2,3182,3.885,433.6,2.19727,2.26751,14.502
1200,30.8,89.2,1753,2.140,173.2,3182,3.885,433.6,2.19727,2.26751,14.502
1250,31.7,88.3,1753,2.140,173.2,3182,3.885,433.6,2.19727,2.26751,14.502
1300,32.6,87.4,1863,2.275,193.3,3425,4.182,477.9,2.27550,2.26741,14.414
1350,33.6,86.4,1863,2.275,193.3,3425,4.182,477.9,2.27550,2.26741,14.414
1400,34.5,85.5,1863,2.275,193.3,3425,4.182,477.9,2.27550,2.26741,14.414
1450,35.5,84.5,1863,2.275,193.3,3425,4.182,477.9,2.27550,2.26741,13.447
1500,36.5,83.5,1863,2.275,193.3,3425,4.182,477.9,2.27550,2.26741,13.447
1550,37.5,82.5,2022,2.469,222.2,3570,4.359,504.3,2.45908,2.33371,11.865
1600,38.6,81.4,2022,2.469,222.2,3570,4.359,504.3,2.45908,2.33371,11.865
