ms,valve_a_pct,valve_b_pct,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
0,20.0,95.0,819,1.000,3.0,534,0.652,-48.9,,,0.000
50,20.0,95.0,819,1.000,3.0,534,0.652,-48.9,,,0.000
100,20.1,95.0,819,1.000,3.0,534,0.652,-48.9,,,0.352
150,20.2,95.0,819,1.000,3.0,534,0.652,-48.9,,,0.352
200,20.3,95.0,1482,1.810,123.8,912,1.114,19.9,2.17771,2.24479,2.988
250,20.5,95.0,1482,1.810,123.8,912,1.114,19.9,2.17771,2.24479,2.988
300,20.7,95.0,1482,1.810,123.8,912,1.114,19.9,2.17771,2.24479,2.988
350,21.0,95.0,1482,1.810,123.8,912,1.114,19.9,2.17771,2.24479,4.482
400,21.3,95.0,1482,1.810,123.8,912,1.114,19.9,2.17771,2.24479,4.482
450,21.6,95.0,1503,1.835,127.6,1020,1.245,39.6,2.17811,2.24492,4.482
500,22.0,95.0,1503,1.835,127.6,1020,1.245,39.6,2.17811,2.24492,15.996
550,22.4,95.0,1503,1.835,127.6,1020,1.245,39.6,2.17811,2.24492,15.996
600,22.8,95.0,1503,1.835,127.6,1020,1.245,39.6,2.17811,2.24492,17.842
650,23.3,95.0,1566,1.912,139.1,1120,1.368,57.9,2.17854,2.24553,17.842
700,23.8,95.0,1566,1.912,139.1,1120,1.368,57.9,2.17854,2.24553,17.842
750,24.4,95.0,1566,1.912,139.1,1120,1.368,57.9,2.17854,2.24553,22.148
800,25.0,95.0,1566,1.912,139.1,1120,1.368,57.9,2.17854,2.24553,22.148
850,25.6,94.4,1639,2.001,152.4,1223,1.493,76.6,2.23407,2.24534,23.994
900,26.2,93.8,1639,2.001,152.4,1223,1.493,76.6,2.23407,2.24534,23.994
950,26.9,93.1,1639,2.001,152.4,1223,1.493,76.6,2.23407,2.24534,24.609
1000,27.6,92.4,1639,2.001,152.4,1223,1.493,76.6,2.23407,2.24534,24.609
1051,28.4,91.6,1723,2.104,167.7,1317,1.608,93.8,2.37418,2.24525,24.434
1100,29.2,90.8,1723,2.104,167.7,1317,1.608,93.8,2.37418,2.24525,24.434
1150,30.0,90.0,1723,2.104,167.7,1317,1.608,93.8,2.37418,2.24525,24.434
1200,30.8,89.2,1723,2.104,167.7,1317,1.608,93.8,2.37418,2.24525,22.764
1250,31.7,88.3,1723,2.104,167.7,1317,1.608,93.8,2.37418,2.24525,22.764
1300,32.6,87.4,1852,2.261,191.2,1354,1.653,100.5,2.42813,2.28144,22.764
1350,33.5,86.5,1852,2.261,191.2,1354,1.653,100.5,2.42813,2.28144,19.863
1400,34.5,85.5,1852,2.261,191.2,1354,1.653,100.5,2.42813,2.28144,19.863
1450,35.5,84.5,1852,2.261,191.2,1354,1.653,100.5,2.42813,2.28144,19.863
1500,36.5,83.5,1852,2.261,191.2,1354,1.653,100.5,2.42813,2.28144,16.611
1550,37.5,82.5,2009,2.453,219.9,1380,1.685,105.2,2.48018,2.37537,16.611
1600,38.6,81.4,2009,2.453,219.9,1380,1.685,105.2,2.48018,2.37537,16.611
1650,39.6,80.4,2009,2.453,219.9,1380,1.685,105.2,2.48018,2.37537,13.184
1700,40.7,79.3,2009,2.453,219.9,1380,1.685,105.2,2.48018,2.37537,13.184
1750,41.8,78.2,2151,2.626,245.7,1393,1.701,107.6,2.51690,2.47187,13.184
1800,43.0,77.0,2151,2.626,245.7,1393,1.701,107.6,2.51690,2.47187,9.404
1850,44.1,75.9,2151,2.626,245.7,1393,1.701,107.6,2.51690,2.47187,9.404
1900,45.3,74.7,2151,2.626,245.7,1393,1.701,107.6,2.51690,2.47187,9.404
1950,46.5,73.5,2301,2.810,273.1,1416,1.729,111.8,2.55786,2.55122,4.922
2000,47.6,72.4,2301,2.810,273.1,1416,1.729,111.8,2.55786,2.55122,4.922
