ms,valve_a_pct,valve_b_pct,enc_deg
1,59.6,60.4,0.000
52,59.2,60.8,0.088
103,58.8,61.2,0.088
155,58.4,61.6,0.000
206,58.0,62.0,0.000
259,57.6,62.4,-0.088
311,57.2,62.8,-0.088
362,56.8,63.2,-0.088
414,56.4,63.6,-0.088
465,56.0,64.0,-0.088
516,55.6,64.4,-0.088
567,55.2,64.8,0.000
618,54.8,65.2,0.000
669,54.4,65.6,0.088
720,54.0,66.0,0.000
771,53.6,66.4,0.088
823,53.2,66.8,0.088
876,52.8,67.2,0.088
927,52.4,67.6,0.176
979,52.0,68.0,0.176
1030,51.6,68.4,0.176
1081,51.2,68.8,0.264
1132,50.8,69.2,0.264
1183,50.4,69.6,0.264
1235,50.0,70.0,0.352
1286,49.6,70.4,0.352
1338,49.2,70.8,0.352
1389,48.8,71.2,0.439
1442,48.4,71.6,0.439
1493,48.0,72.0,0.527
1544,47.6,72.4,0.527
1596,47.2,72.8,0.527
1647,46.8,73.2,0.527
1698,46.4,73.6,0.615
1750,46.0,74.0,0.615
1801,45.6,74.4,0.527
1853,45.2,74.8,0.527
1904,44.8,75.2,0.439
1955,44.4,75.6,0.439
2008,44.0,76.0,0.527
2060,43.6,76.4,0.527
2111,43.2,76.8,0.527
2162,42.8,77.2,0.615
2214,42.4,77.6,0.615
2265,42.0,78.0,0.703
2316,41.6,78.4,0.703
2368,41.2,78.8,0.703
2419,40.8,79.2,0.615
2470,40.4,79.6,0.615
2521,40.0,80.0,0.527
2574,39.6,80.4,0.527
2626,39.2,80.8,0.527
2677,38.8,81.2,0.615
2729,38.4,81.6,0.615
2780,38.0,82.0,0.703
2832,37.6,82.4,0.703
2883,37.2,82.8,0.703
2934,36.8,83.2,0.791
2986,36.4,83.6,0.791
3037,36.0,84.0,0.879
3089,35.6,84.4,0.879
3142,35.2,84.8,0.967
3193,34.8,85.2,0.967
3244,34.4,85.6,1.055
3296,34.0,86.0,1.055
3347,33.6,86.4,1.055
3398,33.2,86.8,1.143
3449,32.8,87.2,1.143
3501,32.4,87.6,1.230
3552,32.0,88.0,1.230
3603,31.6,88.4,1.143
3654,31.2,88.8,1.230
3705,30.8,89.2,1.143
3758,30.4,89.6,1.055
3810,30.0,90.0,0.967
3861,29.6,90.4,0.879
3913,29.2,90.8,0.879
3964,28.8,91.2,0.879
4016,28.4,91.6,0.791
4067,28.0,92.0,0.791
4119,27.6,92.4,0.791
4170,27.2,92.8,0.879
4221,26.8,93.2,0.879
4272,26.4,93.6,0.879
4325,26.0,94.0,0.791
4376,25.6,94.4,0.791
4427,25.2,94.8,0.791
4479,24.8,95.2,0.879
4530,24.4,95.6,0.879
4581,24.0,96.0,0.879
4632,23.6,96.4,0.879
4684,23.2,96.8,0.967
4735,22.8,97.2,0.967
4787,22.4,97.6,1.055
4838,22.0,98.0,1.143
4889,21.6,98.4,1.143
4941,21.2,98.8,1.055
4993,20.8,99.2,0.967
5044,20.4,99.6,1.055
5095,20.0,100.0,0.967
0,20.0,100.0,0.967
50,20.0,100.0,0.791
100,20.0,100.0,0.791
150,20.0,100.0,0.791
200,20.0,100.0,0.791
250,20.0,100.0,0.791
300,20.0,100.0,0.791
350,20.0,100.0,0.703
400,20.0,100.0,0.703
450,20.0,100.0,0.703
500,20.0,100.0,0.703
550,20.0,100.0,0.703
600,20.0,100.0,0.615
650,20.8,99.2,0.615
700,21.7,98.3,0.615
750,22.5,97.5,0.615
800,23.3,96.7,0.615
850,24.2,95.8,1.494
900,25.0,95.0,2.461
950,25.8,94.2,2.988
1000,26.7,93.3,3.691
1050,27.5,92.5,4.219
1100,28.3,91.7,4.834
1150,29.2,90.8,5.361
1200,30.0,90.0,6.064
1250,30.8,89.2,6.680
1300,31.7,88.3,7.471
1350,32.5,87.5,8.877
1400,33.3,86.7,9.756
1450,34.2,85.8,10.723
1500,35.0,85.0,11.777
1550,35.8,84.2,12.744
1600,36.7,83.3,13.711
1650,37.5,82.5,14.766
1700,38.3,81.7,15.732
1750,39.2,80.8,16.699
1800,40.0,80.0,17.754
1850,40.8,79.2,18.809
1900,41.7,78.3,19.863
1950,42.5,77.5,21.006
2000,43.3,76.7,22.148
2050,44.2,75.8,23.115
2100,45.0,75.0,24.170
2150,45.8,74.2,25.137
2200,46.7,73.3,26.191
2250,47.5,72.5,27.246
2300,48.3,71.7,28.301
2350,49.2,70.8,29.268
2400,50.0,70.0,30.322
2450,50.8,69.2,31.377
2500,51.7,68.3,32.520
2550,52.5,67.5,33.486
2600,53.3,66.7,34.629
2650,54.2,65.8,35.684
2700,55.0,65.0,36.738
2750,55.8,64.2,37.881
2800,56.7,63.3,38.848
2850,57.5,62.5,39.990
2900,58.3,61.7,41.045
2950,59.2,60.8,42.012
3000,60.0,60.0,43.066
3050,60.8,59.2,44.121
3100,61.7,58.3,45.264
3150,62.5,57.5,46.318
3200,63.3,56.7,47.373
3250,64.2,55.8,48.428
3300,65.0,55.0,49.482
3350,65.8,54.2,50.537
3400,66.7,53.3,51.592
3450,67.5,52.5,52.646
3500,68.3,51.7,53.701
3550,69.2,50.8,54.756
3600,70.0,50.0,55.811
3650,70.8,49.2,56.865
3700,71.7,48.3,57.920
3750,72.5,47.5,59.062
3800,73.3,46.7,60.029
3850,74.2,45.8,61.084
3900,75.0,45.0,62.227
3950,75.8,44.2,63.281
4000,76.7,43.3,64.248
4050,77.5,42.5,65.215
4100,78.3,41.7,66.182
4150,79.2,40.8,67.148
4200,80.0,40.0,68.115
4250,80.8,39.2,69.170
4300,81.7,38.3,70.225
4350,82.5,37.5,71.104
4400,83.3,36.7,71.982
4450,84.2,35.8,72.861
4500,85.0,35.0,74.004
4550,85.8,34.2,75.146
4600,86.7,33.3,76.201
4650,87.5,32.5,77.168
4700,88.3,31.7,78.223
4750,89.2,30.8,79.189
4800,90.0,30.0,80.244
4850,90.8,29.2,81.299
4900,91.7,28.3,82.354
4950,92.5,27.5,83.320
5000,93.3,26.7,84.199
5050,94.2,25.8,85.166
5100,95.0,25.0,86.045
5150,95.8,24.2,86.924
5200,96.7,23.3,87.715
5250,97.5,22.5,88.418
5300,98.3,21.7,89.121
5350,99.2,20.8,89.648
5400,100.0,20.0,90.264
5450,100.0,20.0,90.703
5500,100.0,20.0,90.967
5550,100.0,20.0,90.967
5600,100.0,20.0,90.967
5650,100.0,20.0,90.967
5700,100.0,20.0,91.055
5750,100.0,20.0,91.055
5800,100.0,20.0,91.055
5850,100.0,20.0,91.055
5900,100.0,20.0,91.143
5950,100.0,20.0,91.143
6000,100.0,20.0,91.143
6050,100.0,20.0,91.143
6100,100.0,20.0,91.230
6150,100.0,20.0,91.230
6200,100.0,20.0,91.230
6250,100.0,20.0,91.318
6300,100.0,20.0,91.406
6350,100.0,20.0,91.406
6400,100.0,20.0,91.494
