ms,valve_a_pct,valve_b_pct,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
0,20.0,95.0,832,1.016,5.4,823,1.005,3.7,,,0.000
50,20.0,95.0,832,1.016,5.4,823,1.005,3.7,,,0.000
100,20.1,95.0,832,1.016,5.4,823,1.005,3.7,,,0.000
150,20.2,95.0,832,1.016,5.4,823,1.005,3.7,,,0.000
200,20.3,95.0,1485,1.813,124.4,1681,2.053,160.1,2.19668,2.26698,0.000
250,20.5,95.0,1485,1.813,124.4,1681,2.053,160.1,2.19668,2.26698,0.000
300,20.7,95.0,1485,1.813,124.4,1681,2.053,160.1,2.19668,2.26698,0.000
350,21.0,95.0,1485,1.813,124.4,1681,2.053,160.1,2.19668,2.26698,0.000
400,21.3,95.0,1504,1.836,127.8,2052,2.505,227.7,2.19621,2.26728,0.000
450,21.6,95.0,1504,1.836,127.8,2052,2.505,227.7,2.19621,2.26728,0.000
500,22.0,95.0,1504,1.836,127.8,2052,2.505,227.7,2.19621,2.26728,0.000
550,22.4,95.0,1504,1.836,127.8,2052,2.505,227.7,2.19621,2.26728,2.549
600,22.8,95.0,1504,1.836,127.8,2052,2.505,227.7,2.19621,2.26728,2.549
650,23.3,95.0,1570,1.917,139.9,2488,3.038,307.1,2.19703,2.26771,2.549
700,23.8,95.0,1570,1.917,139.9,2488,3.038,307.1,2.19703,2.26771,8.701
750,24.4,95.0,1570,1.917,139.9,2488,3.038,307.1,2.19703,2.26771,8.701
800,24.9,95.0,1570,1.917,139.9,2488,3.038,307.1,2.19703,2.26771,10.283
850,25.6,94.4,1570,1.917,139.9,2488,3.038,307.1,2.19703,2.26771,10.283
900,26.2,93.8,1659,2.026,156.1,2897,3.537,381.7,2.19744,2.26765,10.283
950,26.9,93.1,1659,2.026,156.1,2897,3.537,381.7,2.19744,2.26765,12.920
1000,27.6,92.4,1659,2.026,156.1,2897,3.537,381.7,2.19744,2.26765,12.920
1050,28.4,91.6,1659,2.026,156.1,2897,3.537,381.7,2.19744,2.26765,14.062
1100,29.2,90.8,1659,2.026,156.1,2897,3.537,381.7,2.19744,2.26765,14.062
1150,30.0,90.0,1768,2.159,175.9,3266,3.988,448.9,2.19700,2.26742,14.062
1200,30.8,89.2,1768,2.159,175.9,3266,3.988,448.9,2.19700,2.26742,14.238
1250,31.7,88.3,1768,2.159,175.9,3266,3.988,448.9,2.19700,2.26742,14.238
1300,32.6,87.4,1768,2.159,175.9,3266,3.988,448.9,2.19700,2.26742,14.238
1350,33.6,86.4,1889,2.306,198.0,3501,4.275,491.8,2.34159,2.26669,13.799
1400,34.5,85.5,1889,2.306,198.0,3501,4.275,491.8,2.34159,2.26669,13.799
1450,35.5,84.5,1889,2.306,198.0,3501,4.275,491.8,2.34159,2.26669,13.096
1500,36.5,83.5,1889,2.306,198.0,3501,4.275,491.8,2.34159,2.26669,13.096
1550,37.5,82.5,1889,2.306,198.0,3501,4.275,491.8,2.34159,2.26669,13.096
1600,38.6,81.4,2054,2.508,228.1,3570,4.359,504.3,2.47762,2.39210,10.635
1650,39.6,80.4,2054,2.508,228.1,3570,4.359,504.3,2.47762,2.39210,10.635
1700,40.7,79.3,2054,2.508,228.1,3570,4.359,504.3,2.47762,2.39210,10.635
1750,41.8,78.2,2054,2.508,228.1,3570,4.359,504.3,2.47762,2.39210,6.416
1800,43.0,77.0,2054,2.508,228.1,3570,4.359,504.3,2.47762,2.39210,6.416
1850,44.1,75.9,2231,2.724,260.3,3338,4.076,462.0,2.53089,2.47389,6.416
1900,45.3,74.7,2231,2.724,260.3,3338,4.076,462.0,2.53089,2.47389,2.109
1950,46.5,73.5,2231,2.724,260.3,3338,4.076,462.0,2.53089,2.47389,2.109
