ms,valve_a_pct,valve_b_pct,enc_deg
0,20.0,100.0,0.000
50,20.0,100.0,0.000
100,20.0,100.0,0.000
150,20.0,100.0,0.000
200,20.0,100.0,-0.176
250,20.0,100.0,-0.527
300,20.0,100.0,-0.703
350,20.0,100.0,-0.879
400,20.0,100.0,-1.055
450,20.0,100.0,-1.846
500,20.0,100.0,-3.604
550,20.0,100.0,-6.416
600,20.0,100.0,-8.701
650,20.8,99.2,-10.459
700,21.7,98.3,-11.865
750,22.5,97.5,-13.711
800,23.3,96.7,-15.557
850,24.2,95.8,-16.611
900,25.0,95.0,-17.139
950,25.8,94.2,-17.930
1000,26.7,93.3,-18.457
1050,27.5,92.5,-18.633
1100,28.3,91.7,-18.809
1150,29.2,90.8,-18.896
1200,30.0,90.0,-18.896
1250,30.8,89.2,-18.896
1300,31.7,88.3,-18.721
1350,32.5,87.5,-18.369
1400,33.3,86.7,-17.578
1450,34.2,85.8,-16.787
1500,35.0,85.0,-16.084
1550,35.8,84.2,-15.293
1600,36.7,83.3,-13.887
1650,37.5,82.5,-12.656
1700,38.3,81.7,-11.689
1750,39.2,80.8,-10.635
1800,40.0,80.0,-9.668
1850,40.8,79.2,-8.701
1900,41.7,78.3,-7.646
1950,42.5,77.5,-6.592
2000,43.3,76.7,-5.449
2050,44.2,75.8,-4.307
2100,45.0,75.0,-3.252
2150,45.8,74.2,-2.197
2200,46.7,73.3,-1.143
2250,47.5,72.5,-0.088
2300,48.3,71.7,0.967
2350,49.2,70.8,2.021
2400,50.0,70.0,3.076
2450,50.8,69.2,4.131
2500,51.7,68.3,5.186
2550,52.5,67.5,6.328
2600,53.3,66.7,7.383
2650,54.2,65.8,8.525
2700,55.0,65.0,9.580
2750,55.8,64.2,10.635
2800,56.7,63.3,11.689
2850,57.5,62.5,12.832
2900,58.3,61.7,13.887
2950,59.2,60.8,14.941
3000,60.0,60.0,15.996
3050,60.8,59.2,17.051
3100,61.7,58.3,18.193
3150,62.5,57.5,19.248
3200,63.3,56.7,20.127
3250,64.2,55.8,21.182
3300,65.0,55.0,22.324
3350,65.8,54.2,23.379
3400,66.7,53.3,24.434
3450,67.5,52.5,25.488
3500,68.3,51.7,26.543
3550,69.2,50.8,27.598
3600,70.0,50.0,28.652
3650,70.8,49.2,29.795
3700,71.7,48.3,30.850
3750,72.5,47.5,31.904
3800,73.3,46.7,33.047
3850,74.2,45.8,34.102
3900,75.0,45.0,35.156
3950,75.8,44.2,36.211
4000,76.7,43.3,37.090
4050,77.5,42.5,38.232
4100,78.3,41.7,39.375
4150,79.2,40.8,40.430
4200,80.0,40.0,41.484
4250,80.8,39.2,42.539
4300,81.7,38.3,43.682
4350,82.5,37.5,44.736
4400,83.3,36.7,45.791
4450,84.2,35.8,46.934
4500,85.0,35.0,47.988
4550,85.8,34.2,49.043
4600,86.7,33.3,50.098
4650,87.5,32.5,51.152
4700,88.3,31.7,52.119
4750,89.2,30.8,53.174
4800,90.0,30.0,54.229
4850,90.8,29.2,55.195
4900,91.7,28.3,56.162
4950,92.5,27.5,57.129
5000,93.3,26.7,58.096
5050,94.2,25.8,59.062
5100,95.0,25.0,59.941
5150,95.8,24.2,60.820
5200,96.7,23.3,61.611
5250,97.5,22.5,62.490
5300,98.3,21.7,63.193
5350,99.2,20.8,63.984
5400,100.0,20.0,64.600
5450,100.0,20.0,65.215
5500,100.0,20.0,65.566
5550,100.0,20.0,65.566
5600,100.0,20.0,65.566
5650,100.0,20.0,65.566
5700,100.0,20.0,65.566
5750,100.0,20.0,65.566
5800,100.0,20.0,65.566
5850,100.0,20.0,65.566
5900,100.0,20.0,65.566
5950,100.0,20.0,65.566
6000,100.0,20.0,65.566
6050,100.0,20.0,65.566
6100,100.0,20.0,65.566
