ms,valve_a_pct,valve_b_pct,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
0,20.0,100.0,2791,3.408,362.4,2784,3.399,361.1,,,0.000
50,20.0,100.0,2791,3.408,362.4,2784,3.399,361.1,,,0.000
100,20.1,99.9,2791,3.408,362.4,2784,3.399,361.1,,,-6.768
150,20.2,99.8,2791,3.408,362.4,2784,3.399,361.1,,,-6.768
200,20.3,99.7,2350,2.869,282.0,3112,3.800,420.9,2.55963,2.54685,-13.271
250,20.5,99.5,2350,2.869,282.0,3112,3.800,420.9,2.55963,2.54685,-13.271
300,20.7,99.3,2350,2.869,282.0,3112,3.800,420.9,2.55963,2.54685,-13.271
350,21.0,99.0,2350,2.869,282.0,3112,3.800,420.9,2.55963,2.54685,-21.270
400,21.3,98.7,2350,2.869,282.0,3112,3.800,420.9,2.55963,2.54685,-21.270
450,21.6,98.4,1926,2.352,204.7,3461,4.226,484.5,2.41022,2.26706,-27.158
500,22.0,98.0,1926,2.352,204.7,3461,4.226,484.5,2.41022,2.26706,-27.158
550,22.4,97.6,1926,2.352,204.7,3461,4.226,484.5,2.41022,2.26706,-27.158
600,22.8,97.2,1926,2.352,204.7,3461,4.226,484.5,2.41022,2.26706,-35.068
653,23.3,96.7,1649,2.013,154.3,3692,4.508,526.6,2.22589,2.26734,-35.068
700,23.8,96.2,1649,2.013,154.3,3692,4.508,526.6,2.22589,2.26734,-37.969
750,24.4,95.6,1649,2.013,154.3,3692,4.508,526.6,2.22589,2.26734,-37.969
800,25.0,95.0,1649,2.013,154.3,3692,4.508,526.6,2.22589,2.26734,-39.287
850,25.6,94.4,1649,2.013,154.3,3692,4.508,526.6,2.22589,2.26734,-39.287
900,26.2,93.8,1607,1.962,146.6,3894,4.755,563.4,2.23650,2.26729,-39.287
950,26.9,93.1,1607,1.962,146.6,3894,4.755,563.4,2.23650,2.26729,-39.199
1000,27.6,92.4,1607,1.962,146.6,3894,4.755,563.4,2.23650,2.26729,-39.199
1050,28.4,91.6,1607,1.962,146.6,3894,4.755,563.4,2.23650,2.26729,-39.199
1100,29.2,90.8,1749,2.136,172.5,3890,4.750,562.6,2.34590,2.26712,-36.914
1150,30.0,90.0,1749,2.136,172.5,3890,4.750,562.6,2.34590,2.26712,-36.914
