ms,valve_a_pct,valve_b_pct,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
0,20.0,100.0,2791,3.408,362.4,2791,3.408,362.4,,,0.000
50,20.0,100.0,2791,3.408,362.4,2791,3.408,362.4,,,0.000
100,20.1,99.9,2791,3.408,362.4,2791,3.408,362.4,,,-7.734
150,20.2,99.8,2791,3.408,362.4,2791,3.408,362.4,,,-7.734
200,20.3,99.7,2345,2.863,281.1,3121,3.811,422.5,2.57354,2.53973,-7.734
250,20.5,99.5,2345,2.863,281.1,3121,3.811,422.5,2.57354,2.53973,-15.645
300,20.7,99.3,2345,2.863,281.1,3121,3.811,422.5,2.57354,2.53973,-15.645
350,21.0,99.0,2345,2.863,281.1,3121,3.811,422.5,2.57354,2.53973,-15.645
400,21.3,98.7,2007,2.451,219.5,3401,4.153,473.5,2.45173,2.34856,-25.488
450,21.6,98.4,2007,2.451,219.5,3401,4.153,473.5,2.45173,2.34856,-25.488
500,22.0,98.0,2007,2.451,219.5,3401,4.153,473.5,2.45173,2.34856,-30.322
550,22.4,97.6,2007,2.451,219.5,3401,4.153,473.5,2.45173,2.34856,-30.322
600,22.8,97.2,2007,2.451,219.5,3401,4.153,473.5,2.45173,2.34856,-30.322
650,23.3,96.7,1646,2.010,153.7,3693,4.509,526.7,2.23419,2.26686,-36.738
700,23.8,96.2,1646,2.010,153.7,3693,4.509,526.7,2.23419,2.26686,-36.738
750,24.4,95.6,1646,2.010,153.7,3693,4.509,526.7,2.23419,2.26686,-39.814
800,24.9,95.1,1646,2.010,153.7,3693,4.509,526.7,2.23419,2.26686,-39.814
850,25.6,94.4,1646,2.010,153.7,3693,4.509,526.7,2.23419,2.26686,-39.814
900,26.2,93.8,1612,1.968,147.5,3898,4.759,564.1,2.24263,2.26692,-40.166
950,26.9,93.1,1612,1.968,147.5,3898,4.759,564.1,2.24263,2.26692,-40.166
1000,27.6,92.4,1612,1.968,147.5,3898,4.759,564.1,2.24263,2.26692,-40.166
1050,28.4,91.6,1612,1.968,147.5,3898,4.759,564.1,2.24263,2.26692,-37.793
1100,29.2,90.8,1747,2.133,172.1,3881,4.739,561.0,2.34788,2.26684,-37.793
1150,30.0,90.0,1747,2.133,172.1,3881,4.739,561.0,2.34788,2.26684,-36.211
1200,30.8,89.2,1747,2.133,172.1,3881,4.739,561.0,2.34788,2.26684,-36.211
1250,31.7,88.3,1747,2.133,172.1,3881,4.739,561.0,2.34788,2.26684,-36.211
1300,32.6,87.4,1747,2.133,172.1,3881,4.739,561.0,2.34788,2.26684,-33.223
1350,33.6,86.4,1891,2.309,198.4,3681,4.495,524.6,2.40171,2.26710,-33.223
1400,34.5,85.5,1891,2.309,198.4,3681,4.495,524.6,2.40171,2.26710,-31.377
1450,35.5,84.5,1891,2.309,198.4,3681,4.495,524.6,2.40171,2.26710,-31.377
1500,36.5,83.5,1891,2.309,198.4,3681,4.495,524.6,2.40171,2.26710,-31.377
1550,37.5,82.5,1891,2.309,198.4,3681,4.495,524.6,2.40171,2.26710,-27.949
1600,38.6,81.4,2050,2.503,227.3,3511,4.287,493.6,2.47553,2.36911,-27.949
1650,39.6,80.4,2050,2.503,227.3,3511,4.287,493.6,2.47553,2.36911,-27.949
1700,40.7,79.3,2050,2.503,227.3,3511,4.287,493.6,2.47553,2.36911,-24.258
1750,41.8,78.2,2050,2.503,227.3,3511,4.287,493.6,2.47553,2.36911,-24.258
1800,43.0,77.0,2050,2.503,227.3,3511,4.287,493.6,2.47553,2.36911,-21.445
1850,44.1,75.9,2232,2.725,260.5,3331,4.067,460.8,2.53372,2.49512,-21.445
1900,45.3,74.7,2232,2.725,260.5,3331,4.067,460.8,2.53372,2.49512,-18.809
1950,46.5,73.5,2232,2.725,260.5,3331,4.067,460.8,2.53372,2.49512,-18.809
2000,47.6,72.4,2232,2.725,260.5,3331,4.067,460.8,2.53372,2.49512,-18.809
2050,48.8,71.2,2232,2.725,260.5,3331,4.067,460.8,2.53372,2.49512,-14.414
2100,50.1,69.9,2424,2.960,295.5,3142,3.836,426.3,2.57847,2.57804,-14.414
2150,51.3,68.7,2424,2.960,295.5,3142,3.836,426.3,2.57847,2.57804,-11.514
2200,52.5,67.5,2424,2.960,295.5,3142,3.836,426.3,2.57847,2.57804,-11.514
2250,53.7,66.3,2424,2.960,295.5,3142,3.836,426.3,2.57847,2.57804,-8.438
2300,55.0,65.0,2593,3.166,326.3,2979,3.637,396.6,2.60906,2.60715,-8.438
