ms,valve_a_pct,valve_b_pct,enc_deg
6,59.6,60.4,0.000
58,59.2,60.8,0.000
109,58.8,61.2,-0.088
160,58.4,61.6,-0.088
213,58.0,62.0,-0.088
265,57.6,62.4,-0.088
316,57.2,62.8,-0.088
368,56.8,63.2,-0.088
420,56.4,63.6,-0.176
471,56.0,64.0,-0.088
523,55.6,64.4,-0.176
574,55.2,64.8,-0.176
625,54.8,65.2,-0.176
677,54.4,65.6,-0.176
728,54.0,66.0,-0.176
780,53.6,66.4,-0.088
831,53.2,66.8,-0.088
882,52.8,67.2,-0.088
934,52.4,67.6,0.000
985,52.0,68.0,0.000
1036,51.6,68.4,0.000
1087,51.2,68.8,0.000
1139,50.8,69.2,0.000
1190,50.4,69.6,0.088
1241,50.0,70.0,0.088
1292,49.6,70.4,0.000
1343,49.2,70.8,0.000
1394,48.8,71.2,0.088
1447,48.4,71.6,0.088
1499,48.0,72.0,0.088
1550,47.6,72.4,0.176
1602,47.2,72.8,0.176
1653,46.8,73.2,0.176
1704,46.4,73.6,0.176
1755,46.0,74.0,0.264
1806,45.6,74.4,0.264
1858,45.2,74.8,0.352
1909,44.8,75.2,0.352
1960,44.4,75.6,0.264
2011,44.0,76.0,0.264
2062,43.6,76.4,0.352
2114,43.2,76.8,0.352
2165,42.8,77.2,0.352
2217,42.4,77.6,0.439
2268,42.0,78.0,0.439
2320,41.6,78.4,0.439
2372,41.2,78.8,0.439
2423,40.8,79.2,0.527
2475,40.4,79.6,0.527
2526,40.0,80.0,0.615
2577,39.6,80.4,0.615
2629,39.2,80.8,0.703
2681,38.8,81.2,0.703
2732,38.4,81.6,0.703
2784,38.0,82.0,0.703
2835,37.6,82.4,0.791
2886,37.2,82.8,0.791
2938,36.8,83.2,0.791
2989,36.4,83.6,0.791
3041,36.0,84.0,0.879
3093,35.6,84.4,0.879
3144,35.2,84.8,0.967
3196,34.8,85.2,0.967
3247,34.4,85.6,1.055
3299,34.0,86.0,1.055
3350,33.6,86.4,1.143
3401,33.2,86.8,1.143
3453,32.8,87.2,1.143
3504,32.4,87.6,1.230
3555,32.0,88.0,1.230
3607,31.6,88.4,1.318
3658,31.2,88.8,1.318
3709,30.8,89.2,1.406
3760,30.4,89.6,1.494
3811,30.0,90.0,1.494
3863,29.6,90.4,1.494
3915,29.2,90.8,1.406
3966,28.8,91.2,1.318
4018,28.4,91.6,1.318
4070,28.0,92.0,1.406
4122,27.6,92.4,1.318
4173,27.2,92.8,1.230
4224,26.8,93.2,1.230
4276,26.4,93.6,1.143
4327,26.0,94.0,1.143
4379,25.6,94.4,1.230
4430,25.2,94.8,1.230
4483,24.8,95.2,1.230
4534,24.4,95.6,1.230
4586,24.0,96.0,1.318
4638,23.6,96.4,1.318
4689,23.2,96.8,1.406
4741,22.8,97.2,1.406
4793,22.4,97.6,1.318
4844,22.0,98.0,1.230
4896,21.6,98.4,1.143
4948,21.2,98.8,1.055
5000,20.8,99.2,0.967
5054,20.4,99.6,0.967
5106,20.0,100.0,0.879
0,20.0,100.0,0.879
50,20.0,100.0,0.791
100,20.0,100.0,0.791
150,20.0,100.0,0.791
200,20.0,100.0,0.791
250,20.0,100.0,0.791
300,20.0,100.0,0.791
350,20.0,100.0,0.791
400,20.0,100.0,0.791
450,20.0,100.0,0.791
500,20.0,100.0,0.791
550,20.0,100.0,0.791
600,20.0,100.0,0.791
650,20.8,99.2,0.791
700,21.7,98.3,0.791
750,22.5,97.5,0.791
800,23.3,96.7,0.791
850,24.2,95.8,1.582
900,25.0,95.0,2.725
950,25.8,94.2,3.164
1000,26.7,93.3,3.955
1050,27.5,92.5,4.395
