ms,valve_a_pct,valve_b_pct,enc_deg
1,58.7,61.3,0.000
53,57.3,62.7,-0.088
105,56.0,64.0,-0.176
157,54.7,65.3,-0.176
208,53.3,66.7,-0.264
260,52.0,68.0,-0.176
311,50.7,69.3,-0.264
363,49.3,70.7,-0.352
414,48.0,72.0,-0.439
465,46.7,73.3,-0.352
517,45.3,74.7,-0.264
568,44.0,76.0,-0.264
620,42.7,77.3,-0.352
673,41.3,78.7,-0.352
724,40.0,80.0,-0.352
776,38.7,81.3,-0.352
827,37.3,82.7,-0.264
878,36.0,84.0,-0.264
930,34.7,85.3,-0.264
981,33.3,86.7,-0.264
1032,32.0,88.0,-0.352
1083,30.7,89.3,-0.352
1134,29.3,90.7,-0.439
1186,28.0,92.0,-0.527
1237,26.7,93.3,-0.439
1289,25.3,94.7,-0.615
1341,24.0,96.0,-0.703
1392,22.7,97.3,-0.791
1443,21.3,98.7,-0.791
1495,20.0,100.0,-0.703
0,20.0,100.0,-0.703
50,20.0,100.0,-1.230
100,20.0,100.0,-1.230
150,20.0,100.0,-1.230
200,20.0,100.0,-1.230
250,20.0,100.0,-1.230
300,20.0,100.0,-1.230
350,20.0,100.0,-1.230
400,20.0,100.0,-1.230
450,20.0,100.0,-1.230
500,20.0,100.0,-1.230
550,20.0,100.0,-1.230
600,20.0,100.0,-1.230
650,20.8,99.2,-1.230
700,21.7,98.3,-1.230
750,22.5,97.5,-1.230
800,23.3,96.7,-1.143
850,24.2,95.8,-0.088
900,25.0,95.0,0.791
950,25.8,94.2,1.406
1000,26.7,93.3,2.021
1050,27.5,92.5,2.637
1100,28.3,91.7,3.164
1150,29.2,90.8,3.867
1200,30.0,90.0,5.098
1250,30.8,89.2,6.064
1300,31.7,88.3,6.943
1350,32.5,87.5,7.822
1400,33.3,86.7,8.877
1450,34.2,85.8,9.844
1500,35.0,85.0,10.898
1550,35.8,84.2,11.865
1600,36.7,83.3,12.832
1650,37.5,82.5,13.799
1700,38.3,81.7,14.590
1750,39.2,80.8,15.645
1800,40.0,80.0,16.699
1850,40.8,79.2,17.754
1900,41.7,78.3,18.809
1950,42.5,77.5,19.951
2000,43.3,76.7,21.006
2050,44.2,75.8,22.061
2100,45.0,75.0,23.027
2150,45.8,74.2,24.082
2200,46.7,73.3,25.137
2250,47.5,72.5,26.191
2300,48.3,71.7,27.246
2350,49.2,70.8,28.213
2400,50.0,70.0,29.268
2450,50.8,69.2,30.322
2500,51.7,68.3,31.465
2550,52.5,67.5,32.520
2600,53.3,66.7,33.574
2650,54.2,65.8,34.629
2700,55.0,65.0,35.684
2750,55.8,64.2,36.826
2800,56.7,63.3,37.881
2850,57.5,62.5,38.936
2900,58.3,61.7,39.990
2950,59.2,60.8,40.957
3000,60.0,60.0,42.012
3050,60.8,59.2,43.154
3100,61.7,58.3,44.209
3150,62.5,57.5,45.264
3200,63.3,56.7,46.318
3250,64.2,55.8,47.373
3300,65.0,55.0,48.428
3350,65.8,54.2,49.482
3400,66.7,53.3,50.449
3450,67.5,52.5,51.592
3500,68.3,51.7,52.646
3550,69.2,50.8,53.701
3600,70.0,50.0,54.756
3650,70.8,49.2,55.811
