ms,valve_a_pct,valve_b_pct,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x1B,tension_0x2B,enc_deg
0,20.0,95.0,826,1.009,4.3,831,1.015,5.2,,,0.000
50,20.0,95.0,826,1.009,4.3,831,1.015,5.2,,,0.000
100,20.1,95.0,826,1.009,4.3,831,1.015,5.2,,,0.000
150,20.2,95.0,826,1.009,4.3,831,1.015,5.2,,,0.000
200,20.3,95.0,1490,1.819,125.3,1763,2.153,175.0,2.17186,2.42598,0.000
250,20.5,95.0,1490,1.819,125.3,1763,2.153,175.0,2.17186,2.42598,0.000
300,20.7,95.0,1490,1.819,125.3,1763,2.153,175.0,2.17186,2.42598,0.000
350,21.0,95.0,1490,1.819,125.3,1763,2.153,175.0,2.17186,2.42598,0.000
400,21.3,95.0,1501,1.833,127.3,2088,2.549,234.3,2.17196,2.42573,0.703
450,21.6,95.0,1501,1.833,127.3,2088,2.549,234.3,2.17196,2.42573,0.703
500,22.0,95.0,1501,1.833,127.3,2088,2.549,234.3,2.17196,2.42573,0.703
550,22.4,95.0,1501,1.833,127.3,2088,2.549,234.3,2.17196,2.42573,10.195
600,22.8,95.0,1556,1.900,137.3,2441,2.980,298.6,2.19446,2.43418,10.195
650,23.3,95.0,1556,1.900,137.3,2441,2.980,298.6,2.19446,2.43418,14.414
700,23.8,95.0,1556,1.900,137.3,2441,2.980,298.6,2.19446,2.43418,14.414
750,24.4,95.0,1556,1.900,137.3,2441,2.980,298.6,2.19446,2.43418,15.732
800,24.9,95.0,1556,1.900,137.3,2441,2.980,298.6,2.19446,2.43418,15.732
850,25.6,94.4,1630,1.990,150.8,2896,3.536,381.5,2.28682,2.48075,15.732
900,26.2,93.8,1630,1.990,150.8,2896,3.536,381.5,2.28682,2.48075,18.984
950,26.9,93.1,1630,1.990,150.8,2896,3.536,381.5,2.28682,2.48075,18.984
1000,27.6,92.4,1630,1.990,150.8,2896,3.536,381.5,2.28682,2.48075,19.951
1050,28.4,91.6,1726,2.107,168.3,3250,3.968,446.0,2.43089,2.53638,19.951
1100,29.2,90.8,1726,2.107,168.3,3250,3.968,446.0,2.43089,2.53638,19.951
1150,30.0,90.0,1726,2.107,168.3,3250,3.968,446.0,2.43089,2.53638,20.127
1200,30.8,89.2,1726,2.107,168.3,3250,3.968,446.0,2.43089,2.53638,20.127
1250,31.7,88.3,1726,2.107,168.3,3250,3.968,446.0,2.43089,2.53638,20.127
1300,32.6,87.4,1857,2.267,192.2,3596,4.391,509.1,2.56653,2.57356,20.391
1350,33.5,86.5,1857,2.267,192.2,3596,4.391,509.1,2.56653,2.57356,20.391
1400,34.5,85.5,1857,2.267,192.2,3596,4.391,509.1,2.56653,2.57356,20.391
1450,35.5,84.5,1857,2.267,192.2,3596,4.391,509.1,2.56653,2.57356,19.248
1500,36.5,83.5,1857,2.267,192.2,3596,4.391,509.1,2.56653,2.57356,19.248
1550,37.5,82.5,2028,2.476,223.3,3619,4.419,513.3,2.62291,2.59560,19.248
1600,38.6,81.4,2028,2.476,223.3,3619,4.419,513.3,2.62291,2.59560,16.699
