ms,valve_a_pct,valve_b_pct,enc_deg
0,20.0,100.0,0.000
50,20.0,100.0,0.000
100,20.0,100.0,0.000
150,20.0,100.0,0.000
200,20.0,100.0,0.000
250,20.0,100.0,0.000
300,20.0,100.0,0.000
350,20.0,100.0,0.000
400,20.0,100.0,0.000
450,20.0,100.0,0.000
500,20.0,100.0,0.000
550,20.0,100.0,0.000
600,20.0,100.0,0.000
650,20.8,99.2,0.000
700,21.7,98.3,0.000
750,22.5,97.5,0.000
800,23.3,96.7,0.000
850,24.2,95.8,0.000
900,25.0,95.0,0.000
950,25.8,94.2,0.000
1000,26.7,93.3,0.000
1050,27.5,92.5,0.000
1100,28.3,91.7,0.000
1150,29.2,90.8,0.000
1200,30.0,90.0,0.000
1250,30.8,89.2,0.000
1300,31.7,88.3,0.000
1350,32.5,87.5,0.000
1400,33.3,86.7,0.000
1450,34.2,85.8,0.000
1500,35.0,85.0,0.000
1550,35.8,84.2,0.000
1600,36.7,83.3,0.000
1650,37.5,82.5,0.000
1700,38.3,81.7,0.000
1750,39.2,80.8,0.000
1800,40.0,80.0,0.000
1850,40.8,79.2,0.000
1900,41.7,78.3,0.000
1950,42.5,77.5,0.000
2000,43.3,76.7,0.000
2050,44.2,75.8,0.000
2100,45.0,75.0,0.000
2150,45.8,74.2,0.000
2200,46.7,73.3,0.000
2250,47.5,72.5,0.000
2300,48.3,71.7,0.000
2350,49.2,70.8,0.000
2400,50.0,70.0,0.000
2450,50.8,69.2,-0.088
2500,51.7,68.3,-0.088
2550,52.5,67.5,-0.088
2600,53.3,66.7,-0.088
2650,54.2,65.8,-0.088
2700,55.0,65.0,-0.088
2750,55.8,64.2,-0.088
2800,56.7,63.3,-0.088
2850,57.5,62.5,-0.088
2900,58.3,61.7,-0.088
2950,59.2,60.8,-0.088
3000,60.0,60.0,-0.088
3050,60.8,59.2,-0.088
3100,61.7,58.3,-0.088
3150,62.5,57.5,-0.088
3200,63.3,56.7,-0.088
3250,64.2,55.8,-0.088
3300,65.0,55.0,-0.088
3350,65.8,54.2,0.000
3400,66.7,53.3,0.000
3450,67.5,52.5,0.000
3500,68.3,51.7,0.000
3550,69.2,50.8,0.000
3600,70.0,50.0,0.000
3650,70.8,49.2,0.088
3700,71.7,48.3,0.088
3750,72.5,47.5,0.088
3800,73.3,46.7,0.088
3850,74.2,45.8,0.088
3900,75.0,45.0,0.088
3950,75.8,44.2,0.176
4000,76.7,43.3,0.264
4050,77.5,42.5,0.264
4100,78.3,41.7,0.264
4150,79.2,40.8,0.264
4200,80.0,40.0,0.264
4250,80.8,39.2,0.264
4300,81.7,38.3,0.264
4350,82.5,37.5,0.264
4400,83.3,36.7,0.352
4450,84.2,35.8,0.352
4500,85.0,35.0,0.352
4550,85.8,34.2,0.352
4600,86.7,33.3,0.352
4650,87.5,32.5,0.352
4700,88.3,31.7,0.352
4750,89.2,30.8,0.352
4800,90.0,30.0,0.352
4850,90.8,29.2,0.352
4900,91.7,28.3,0.352
4950,92.5,27.5,0.439
5000,93.3,26.7,0.439
5050,94.2,25.8,0.439
5100,95.0,25.0,0.439
5150,95.8,24.2,0.439
5200,96.7,23.3,0.439
5250,97.5,22.5,0.439
5300,98.3,21.7,0.439
5350,99.2,20.8,0.439
5400,100.0,20.0,0.439
5450,100.0,20.0,0.439
5500,100.0,20.0,0.439
5550,100.0,20.0,0.439
5600,100.0,20.0,0.439
5650,100.0,20.0,0.439
5700,100.0,20.0,0.439
5750,100.0,20.0,0.439
5800,100.0,20.0,0.439
5850,100.0,20.0,0.439
5900,100.0,20.0,0.439
5950,100.0,20.0,0.439
6000,100.0,20.0,0.439
6050,100.0,20.0,0.439
6100,100.0,20.0,0.439
6150,100.0,20.0,0.527
6200,100.0,20.0,0.527
