ms,valve_a_pct,valve_b_pct,enc_deg
0,20.0,100.0,0.000
50,20.0,100.0,0.000
100,20.0,100.0,-0.352
150,20.0,100.0,-1.406
200,20.0,100.0,-2.812
250,20.0,100.0,-3.779
300,20.0,100.0,-3.955
350,20.0,100.0,-3.252
400,20.0,100.0,-2.725
450,20.0,100.0,-3.252
500,20.0,100.0,-5.098
550,20.0,100.0,-7.998
600,20.0,100.0,-10.811
650,20.8,99.2,-12.744
700,21.7,98.3,-14.238
750,22.5,97.5,-15.908
800,23.3,96.7,-17.842
850,24.2,95.8,-19.424
900,25.0,95.0,-20.303
950,25.8,94.2,-20.742
1000,26.7,93.3,-21.357
1050,27.5,92.5,-21.621
1100,28.3,91.7,-21.709
1151,29.2,90.8,-21.797
1200,30.0,90.0,-21.797
1250,30.8,89.2,-21.709
1300,31.7,88.3,-21.533
1350,32.5,87.5,-21.270
1400,33.3,86.7,-20.830
1450,34.2,85.8,-20.039
1500,35.0,85.0,-19.248
1550,35.8,84.2,-18.545
1600,36.7,83.3,-17.666
1650,37.5,82.5,-16.260
1700,38.3,81.7,-15.117
1750,39.2,80.8,-14.150
1800,40.0,80.0,-13.184
1850,40.8,79.2,-12.129
1900,41.7,78.3,-11.162
1950,42.5,77.5,-10.107
2000,43.3,76.7,-9.053
2050,44.2,75.8,-7.910
2100,45.0,75.0,-6.768
2150,45.8,74.2,-5.625
2200,46.7,73.3,-4.570
2250,47.5,72.5,-3.604
2300,48.3,71.7,-2.461
2350,49.2,70.8,-1.494
2400,50.0,70.0,-0.352
2450,50.8,69.2,0.615
2500,51.7,68.3,1.758
2550,52.5,67.5,2.812
2600,53.3,66.7,3.867
2650,54.2,65.8,4.922
2700,55.0,65.0,5.977
2750,55.8,64.2,7.031
2800,56.7,63.3,8.086
2850,57.5,62.5,9.229
2900,58.3,61.7,10.283
2950,59.2,60.8,11.338
3000,60.0,60.0,12.393
3050,60.8,59.2,13.535
3100,61.7,58.3,14.502
3150,62.5,57.5,15.645
3200,63.3,56.7,16.699
3250,64.2,55.8,17.842
3300,65.0,55.0,18.896
3350,65.8,54.2,19.951
3400,66.7,53.3,21.006
3450,67.5,52.5,22.061
3500,68.3,51.7,23.115
3550,69.2,50.8,24.170
3600,70.0,50.0,25.312
3650,70.8,49.2,26.367
3700,71.7,48.3,27.510
3750,72.5,47.5,28.564
3800,73.3,46.7,29.619
3850,74.2,45.8,30.674
3900,75.0,45.0,31.816
3950,75.8,44.2,32.871
4000,76.7,43.3,33.926
4050,77.5,42.5,34.717
4100,78.3,41.7,35.947
4150,79.2,40.8,37.002
4200,80.0,40.0,38.145
4250,80.8,39.2,39.199
4300,81.7,38.3,40.342
4350,82.5,37.5,41.396
4400,83.3,36.7,42.451
4450,84.2,35.8,43.506
4500,85.0,35.0,44.561
4550,85.8,34.2,45.615
4600,86.7,33.3,46.758
4650,87.5,32.5,47.812
4700,88.3,31.7,48.867
4750,89.2,30.8,49.922
4800,90.0,30.0,50.977
4850,90.8,29.2,51.943
4900,91.7,28.3,52.822
4950,92.5,27.5,53.701
5000,93.3,26.7,54.580
5050,94.2,25.8,55.371
5100,95.0,25.0,56.074
5150,95.8,24.2,56.777
5200,96.7,23.3,57.393
5250,97.5,22.5,58.008
5300,98.3,21.7,58.623
5350,99.2,20.8,59.062
5400,100.0,20.0,59.414
5450,100.0,20.0,59.854
5500,100.0,20.0,60.029
5550,100.0,20.0,60.029
5600,100.0,20.0,60.029
5650,100.0,20.0,60.029
5700,100.0,20.0,60.029
5750,100.0,20.0,60.029
5800,100.0,20.0,60.117
5850,100.0,20.0,60.117
5900,100.0,20.0,60.117
5950,100.0,20.0,60.117
6000,100.0,20.0,60.117
6050,100.0,20.0,60.117
6100,100.0,20.0,60.117
