ms,valve_a_pct,valve_b_pct,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x1B,tension_0x2B,enc_deg
0,20.0,95.0,824,1.006,3.9,839,1.024,6.6,,,0.000
50,20.0,95.0,824,1.006,3.9,839,1.024,6.6,,,0.000
100,20.1,95.0,824,1.006,3.9,839,1.024,6.6,,,0.000
150,20.2,95.0,824,1.006,3.9,839,1.024,6.6,,,0.000
200,20.3,95.0,1490,1.819,125.3,1796,2.193,181.0,2.17271,2.42465,0.000
250,20.5,95.0,1490,1.819,125.3,1796,2.193,181.0,2.17271,2.42465,0.000
300,20.7,95.0,1490,1.819,125.3,1796,2.193,181.0,2.17271,2.42465,0.000
350,21.0,95.0,1490,1.819,125.3,1796,2.193,181.0,2.17271,2.42465,0.088
400,21.3,95.0,1499,1.830,126.9,2131,2.602,242.1,2.17279,2.42561,0.088
450,21.6,95.0,1499,1.830,126.9,2131,2.602,242.1,2.17279,2.42561,2.725
500,22.0,95.0,1499,1.830,126.9,2131,2.602,242.1,2.17279,2.42561,2.725
550,22.4,95.0,1499,1.830,126.9,2131,2.602,242.1,2.17279,2.42561,2.725
600,22.8,95.0,1499,1.830,126.9,2131,2.602,242.1,2.17279,2.42561,14.150
650,23.3,95.0,1562,1.907,138.4,2568,3.136,321.7,2.20745,2.42450,14.150
700,23.8,95.0,1562,1.907,138.4,2568,3.136,321.7,2.20745,2.42450,14.150
750,24.4,95.0,1562,1.907,138.4,2568,3.136,321.7,2.20745,2.42450,16.963
800,24.9,95.0,1562,1.907,138.4,2568,3.136,321.7,2.20745,2.42450,16.963
850,25.6,94.4,1643,2.006,153.2,2955,3.608,392.3,2.30653,2.48559,19.600
900,26.2,93.8,1643,2.006,153.2,2955,3.608,392.3,2.30653,2.48559,19.600
950,26.9,93.1,1643,2.006,153.2,2955,3.608,392.3,2.30653,2.48559,19.600
1000,27.6,92.4,1643,2.006,153.2,2955,3.608,392.3,2.30653,2.48559,21.182
1050,28.4,91.6,1725,2.106,168.1,3309,4.040,456.8,2.44383,2.53001,21.182
1100,29.2,90.8,1725,2.106,168.1,3309,4.040,456.8,2.44383,2.53001,21.182
1150,30.0,90.0,1725,2.106,168.1,3309,4.040,456.8,2.44383,2.53001,21.182
1200,30.8,89.2,1725,2.106,168.1,3309,4.040,456.8,2.44383,2.53001,21.357
1250,31.7,88.3,1725,2.106,168.1,3309,4.040,456.8,2.44383,2.53001,21.357
1300,32.6,87.4,1860,2.271,192.7,3634,4.437,516.0,2.55610,2.57492,21.357
1350,33.5,86.5,1860,2.271,192.7,3634,4.437,516.0,2.55610,2.57492,21.270
1400,34.5,85.5,1860,2.271,192.7,3634,4.437,516.0,2.55610,2.57492,21.270
1450,35.5,84.5,1860,2.271,192.7,3634,4.437,516.0,2.55610,2.57492,21.270
1500,36.5,83.5,1982,2.420,214.9,3645,4.451,518.0,2.61566,2.59193,19.424
1550,37.5,82.5,1982,2.420,214.9,3645,4.451,518.0,2.61566,2.59193,19.424
1600,38.6,81.4,1982,2.420,214.9,3645,4.451,518.0,2.61566,2.59193,19.424
1650,39.6,80.4,1982,2.420,214.9,3645,4.451,518.0,2.61566,2.59193,15.996
1700,40.7,79.3,1982,2.420,214.9,3645,4.451,518.0,2.61566,2.59193,15.996
1750,41.8,78.2,2150,2.625,245.6,3412,4.166,475.5,2.64582,2.59925,13.711
1800,43.0,77.0,2150,2.625,245.6,3412,4.166,475.5,2.64582,2.59925,13.711
1850,44.1,75.9,2150,2.625,245.6,3412,4.166,475.5,2.64582,2.59925,13.711
1900,45.3,74.7,2150,2.625,245.6,3412,4.166,475.5,2.64582,2.59925,10.547
1950,46.5,73.5,2300,2.808,272.9,3257,3.977,447.3,2.67398,2.60970,10.547
2000,47.6,72.4,2300,2.808,272.9,3257,3.977,447.3,2.67398,2.60970,8.086
2050,48.8,71.2,2300,2.808,272.9,3257,3.977,447.3,2.67398,2.60970,8.086
2100,50.1,69.9,2300,2.808,272.9,3257,3.977,447.3,2.67398,2.60970,5.537
2150,51.3,68.7,2300,2.808,272.9,3257,3.977,447.3,2.67398,2.60970,5.537
2200,52.5,67.5,2500,3.053,309.3,3048,3.722,409.2,2.70296,2.61796,5.537
2250,53.7,66.3,2500,3.053,309.3,3048,3.722,409.2,2.70296,2.61796,1.582
2300,55.0,65.0,2500,3.053,309.3,3048,3.722,409.2,2.70296,2.61796,1.582
2350,56.2,63.8,2500,3.053,309.3,3048,3.722,409.2,2.70296,2.61796,1.582
2400,57.5,62.5,2500,3.053,309.3,3048,3.722,409.2,2.70296,2.61796,-2.549
2450,58.7,61.3,2689,3.283,343.8,2846,3.475,372.4,2.71664,2.62296,-2.549
2500,60.0,60.0,2689,3.283,343.8,2846,3.475,372.4,2.71664,2.62296,-5.186
2550,61.3,58.7,2689,3.283,343.8,2846,3.475,372.4,2.71664,2.62296,-5.186
2600,62.5,57.5,2689,3.283,343.8,2846,3.475,372.4,2.71664,2.62296,-7.998
2650,63.8,56.2,2867,3.501,376.2,2692,3.287,344.3,2.71945,2.62371,-7.998
2700,65.0,55.0,2867,3.501,376.2,2692,3.287,344.3,2.71945,2.62371,-10.547
2750,66.3,53.7,2867,3.501,376.2,2692,3.287,344.3,2.71945,2.62371,-10.547
2800,67.5,52.5,2867,3.501,376.2,2692,3.287,344.3,2.71945,2.62371,-10.547
2850,68.7,51.3,3031,3.701,406.1,2523,3.081,313.5,2.71938,2.62336,-14.766
2900,70.0,50.0,3031,3.701,406.1,2523,3.081,313.5,2.71938,2.62336,-14.766
2950,71.2,48.8,3031,3.701,406.1,2523,3.081,313.5,2.71938,2.62336,-14.766
3000,72.4,47.6,3031,3.701,406.1,2523,3.081,313.5,2.71938,2.62336,-18.809
3050,73.6,46.4,3185,3.889,434.2,2361,2.883,284.0,2.71583,2.62135,-18.809
3100,74.7,45.3,3185,3.889,434.2,2361,2.883,284.0,2.71583,2.62135,-21.357
3150,75.9,44.1,3185,3.889,434.2,2361,2.883,284.0,2.71583,2.62135,-21.357
3200,77.0,43.0,3185,3.889,434.2,2361,2.883,284.0,2.71583,2.62135,-21.357
3250,78.2,41.8,3346,4.085,463.5,2208,2.696,256.1,2.68923,2.61518,-24.961
3300,79.3,40.7,3346,4.085,463.5,2208,2.696,256.1,2.68923,2.61518,-24.961
3350,80.4,39.6,3346,4.085,463.5,2208,2.696,256.1,2.68923,2.61518,-24.961
3400,81.4,38.6,3346,4.085,463.5,2208,2.696,256.1,2.68923,2.61518,-28.301
3450,82.5,37.5,3346,4.085,463.5,2208,2.696,256.1,2.68923,2.61518,-28.301
3500,83.5,36.5,3523,4.302,495.8,2016,2.462,221.1,2.65644,2.60050,-28.301
3550,84.5,35.5,3523,4.302,495.8,2016,2.462,221.1,2.65644,2.60050,-31.289
3600,85.5,34.5,3523,4.302,495.8,2016,2.462,221.1,2.65644,2.60050,-31.289
3650,86.5,33.5,3523,4.302,495.8,2016,2.462,221.1,2.65644,2.60050,-33.135
3700,87.4,32.6,3523,4.302,495.8,2016,2.462,221.1,2.65644,2.60050,-33.135
3750,88.3,31.7,3679,4.492,524.2,1875,2.289,195.4,2.61536,2.58548,-33.135
3800,89.2,30.8,3679,4.492,524.2,1875,2.289,195.4,2.61536,2.58548,-35.684
3850,90.0,30.0,3679,4.492,524.2,1875,2.289,195.4,2.61536,2.58548,-35.684
3900,90.8,29.2,3679,4.492,524.2,1875,2.289,195.4,2.61536,2.58548,-37.178
3950,91.6,28.4,3679,4.492,524.2,1875,2.289,195.4,2.61536,2.58548,-37.178
4000,92.4,27.6,3826,4.672,551.0,1739,2.123,170.7,2.57894,2.57402,-37.178
4050,93.1,26.9,3826,4.672,551.0,1739,2.123,170.7,2.57894,2.57402,-39.111
4100,93.8,26.2,3826,4.672,551.0,1739,2.123,170.7,2.57894,2.57402,-39.111
4150,94.4,25.6,3826,4.672,551.0,1739,2.123,170.7,2.57894,2.57402,-40.254
4200,95.0,24.9,3826,4.672,551.0,1739,2.123,170.7,2.57894,2.57402,-40.254
4250,95.0,24.4,3944,4.816,572.5,1624,1.983,149.7,2.55734,2.56007,-41.221
4300,95.0,23.8,3944,4.816,572.5,1624,1.983,149.7,2.55734,2.56007,-41.221
4350,95.0,23.3,3944,4.816,572.5,1624,1.983,149.7,2.55734,2.56007,-41.924
4400,95.0,22.8,3944,4.816,572.5,1624,1.983,149.7,2.55734,2.56007,-41.924
4450,95.0,22.4,3944,4.816,572.5,1624,1.983,149.7,2.55734,2.56007,-41.924
4500,95.0,22.0,3931,4.800,570.1,1540,1.880,134.4,2.52164,2.54734,-42.539
