ms,valve_a_pct,valve_b_pct,enc_deg
1,58.7,61.3,0.000
52,57.3,62.7,-0.088
103,56.0,64.0,-0.088
154,54.7,65.3,-0.176
205,53.3,66.7,-0.264
257,52.0,68.0,-0.176
308,50.7,69.3,-0.088
359,49.3,70.7,0.000
410,48.0,72.0,0.000
461,46.7,73.3,0.088
512,45.3,74.7,0.176
564,44.0,76.0,0.264
616,42.7,77.3,0.264
667,41.3,78.7,0.352
718,40.0,80.0,0.264
769,38.7,81.3,0.264
821,37.3,82.7,0.264
873,36.0,84.0,0.264
924,34.7,85.3,0.264
975,33.3,86.7,0.264
1026,32.0,88.0,0.352
1077,30.7,89.3,0.439
1129,29.3,90.7,0.439
1180,28.0,92.0,0.439
1231,26.7,93.3,0.439
1282,25.3,94.7,0.352
1333,24.0,96.0,0.264
1385,22.7,97.3,0.264
1436,21.3,98.7,0.352
1487,20.0,100.0,0.439
0,20.0,100.0,0.439
50,20.0,100.0,-0.088
100,20.0,100.0,-0.176
150,20.0,100.0,-0.176
200,20.0,100.0,-0.176
250,20.0,100.0,-0.176
300,20.0,100.0,-0.176
350,20.0,100.0,-0.264
400,20.0,100.0,-0.264
450,20.0,100.0,-0.264
500,20.0,100.0,-0.264
550,20.0,100.0,-0.264
600,20.0,100.0,-0.264
650,20.8,99.2,-0.264
700,21.7,98.3,-0.264
750,22.5,97.5,-0.264
800,23.3,96.7,-0.264
850,24.2,95.8,0.615
900,25.0,95.0,1.582
950,25.8,94.2,2.109
1000,26.7,93.3,3.164
1050,27.5,92.5,4.043
1100,28.3,91.7,4.922
1150,29.2,90.8,5.801
1200,30.0,90.0,6.680
1250,30.8,89.2,7.646
1300,31.7,88.3,8.525
1350,32.5,87.5,9.404
1400,33.3,86.7,10.459
1450,34.2,85.8,11.338
1500,35.0,85.0,12.393
1550,35.8,84.2,13.359
1600,36.7,83.3,14.414
1650,37.5,82.5,15.381
1700,38.3,81.7,16.348
1750,39.2,80.8,17.314
1800,40.0,80.0,18.369
1850,40.8,79.2,19.424
1900,41.7,78.3,20.479
1950,42.5,77.5,21.621
2000,43.3,76.7,22.676
2050,44.2,75.8,23.730
2100,45.0,75.0,24.785
2150,45.8,74.2,25.840
2200,46.7,73.3,26.807
2250,47.5,72.5,27.861
2300,48.3,71.7,28.916
2350,49.2,70.8,29.883
2400,50.0,70.0,30.938
2450,50.8,69.2,31.992
2500,51.7,68.3,33.047
2550,52.5,67.5,34.189
2600,53.3,66.7,35.244
2650,54.2,65.8,36.387
2700,55.0,65.0,37.441
2750,55.8,64.2,38.496
2800,56.7,63.3,39.551
2850,57.5,62.5,40.605
2900,58.3,61.7,41.660
2950,59.2,60.8,42.715
3000,60.0,60.0,43.770
3050,60.8,59.2,44.824
3100,61.7,58.3,45.879
3150,62.5,57.5,46.934
3200,63.3,56.7,47.988
3250,64.2,55.8,49.131
3300,65.0,55.0,50.186
3350,65.8,54.2,51.240
3400,66.7,53.3,52.207
3450,67.5,52.5,53.350
3500,68.3,51.7,54.404
3550,69.2,50.8,55.459
3600,70.0,50.0,56.514
3650,70.8,49.2,57.568
3700,71.7,48.3,58.711
3750,72.5,47.5,59.766
3800,73.3,46.7,60.820
3850,74.2,45.8,61.875
3900,75.0,45.0,62.930
3950,75.8,44.2,64.072
4000,76.7,43.3,65.127
4050,77.5,42.5,66.182
4100,78.3,41.7,67.236
4150,79.2,40.8,68.379
4200,80.0,40.0,69.434
4250,80.8,39.2,70.576
4300,81.7,38.3,71.631
4350,82.5,37.5,72.686
4400,83.3,36.7,73.740
4450,84.2,35.8,74.795
4500,85.0,35.0,75.850
4550,85.8,34.2,76.904
4600,86.7,33.3,77.959
4650,87.5,32.5,79.014
4700,88.3,31.7,80.156
4750,89.2,30.8,81.211
4800,90.0,30.0,82.178
4850,90.8,29.2,83.145
