ms,valve_a_pct,valve_b_pct,enc_deg
0,20.0,100.0,0.000
50,20.0,100.0,0.000
100,20.0,100.0,0.000
150,20.0,100.0,0.000
200,20.0,100.0,0.000
250,20.0,100.0,0.000
300,20.0,100.0,0.000
350,20.0,100.0,-0.088
400,20.0,100.0,-1.055
450,20.0,100.0,-3.955
500,20.0,100.0,-8.438
550,20.0,100.0,-13.447
600,20.0,100.0,-16.875
650,20.8,99.2,-17.402
700,21.7,98.3,-17.402
750,22.5,97.5,-17.842
800,23.3,96.7,-19.424
850,24.2,95.8,-19.951
900,25.0,95.0,-20.039
950,25.8,94.2,-20.479
1000,26.7,93.3,-20.830
1050,27.5,92.5,-20.830
1100,28.3,91.7,-20.830
1150,29.2,90.8,-20.830
1200,30.0,90.0,-20.830
1250,30.8,89.2,-20.566
1300,31.7,88.3,-20.039
1350,32.5,87.5,-19.160
1400,33.3,86.7,-18.193
1450,34.2,85.8,-17.490
1500,35.0,85.0,-17.051
1550,35.8,84.2,-16.699
1600,36.7,83.3,-15.996
