ms,valve_a_pct,valve_b_pct,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
0,20.0,95.0,835,1.020,5.9,820,1.001,3.2,,,0.000
50,20.0,95.0,835,1.020,5.9,820,1.001,3.2,,,0.000
100,20.1,95.0,835,1.020,5.9,820,1.001,3.2,,,0.352
150,20.2,95.0,835,1.020,5.9,820,1.001,3.2,,,0.352
200,20.3,95.0,1491,1.821,125.5,1775,2.167,177.2,2.19762,2.26850,2.725
250,20.5,95.0,1491,1.821,125.5,1775,2.167,177.2,2.19762,2.26850,2.725
300,20.7,95.0,1491,1.821,125.5,1775,2.167,177.2,2.19762,2.26850,2.725
350,21.0,95.0,1491,1.821,125.5,1775,2.167,177.2,2.19762,2.26850,3.164
400,21.3,95.0,1511,1.845,129.1,2183,2.665,251.6,2.19766,2.26829,3.164
450,21.6,95.0,1511,1.845,129.1,2183,2.665,251.6,2.19766,2.26829,3.691
500,22.0,95.0,1511,1.845,129.1,2183,2.665,251.6,2.19766,2.26829,3.691
550,22.4,95.0,1511,1.845,129.1,2183,2.665,251.6,2.19766,2.26829,3.691
600,22.8,95.0,1511,1.845,129.1,2183,2.665,251.6,2.19766,2.26829,11.514
650,23.3,95.0,1568,1.915,139.5,2670,3.260,340.3,2.19802,2.26765,11.514
700,23.8,95.0,1568,1.915,139.5,2670,3.260,340.3,2.19802,2.26765,11.514
750,24.4,95.0,1568,1.915,139.5,2670,3.260,340.3,2.19802,2.26765,15.293
800,24.9,95.0,1568,1.915,139.5,2670,3.260,340.3,2.19802,2.26765,15.293
850,25.6,94.4,1637,1.999,152.1,3044,3.717,408.5,2.19806,2.26874,17.490
900,26.2,93.8,1637,1.999,152.1,3044,3.717,408.5,2.19806,2.26874,17.490
950,26.9,93.1,1637,1.999,152.1,3044,3.717,408.5,2.19806,2.26874,17.490
1000,27.6,92.4,1637,1.999,152.1,3044,3.717,408.5,2.19806,2.26874,19.336
1050,28.4,91.6,1637,1.999,152.1,3044,3.717,408.5,2.19806,2.26874,19.336
1100,29.2,90.8,1750,2.137,172.7,3450,4.212,482.5,2.19833,2.26784,19.775
1150,30.0,90.0,1750,2.137,172.7,3450,4.212,482.5,2.19833,2.26784,19.775
1200,30.8,89.2,1750,2.137,172.7,3450,4.212,482.5,2.19833,2.26784,19.775
1250,31.7,88.3,1750,2.137,172.7,3450,4.212,482.5,2.19833,2.26784,19.775
1300,32.6,87.4,1860,2.271,192.7,3691,4.507,526.4,2.33902,2.26928,19.775
1350,33.5,86.5,1860,2.271,192.7,3691,4.507,526.4,2.33902,2.26928,19.775
1400,34.5,85.5,1860,2.271,192.7,3691,4.507,526.4,2.33902,2.26928,17.930
1450,35.5,84.5,1860,2.271,192.7,3691,4.507,526.4,2.33902,2.26928,17.930
1500,36.5,83.5,1860,2.271,192.7,3691,4.507,526.4,2.33902,2.26928,17.930
1550,37.5,82.5,2014,2.459,220.8,3565,4.353,503.4,2.44285,2.31464,14.414
1600,38.6,81.4,2014,2.459,220.8,3565,4.353,503.4,2.44285,2.31464,14.414
1650,39.6,80.4,2014,2.459,220.8,3565,4.353,503.4,2.44285,2.31464,11.953
1700,40.7,79.3,2014,2.459,220.8,3565,4.353,503.4,2.44285,2.31464,11.953
1750,41.8,78.2,2014,2.459,220.8,3565,4.353,503.4,2.44285,2.31464,11.953
1800,43.0,77.0,2191,2.675,253.0,3385,4.133,470.6,2.50846,2.43090,7.998
1850,44.1,75.9,2191,2.675,253.0,3385,4.133,470.6,2.50846,2.43090,7.998
1900,45.3,74.7,2191,2.675,253.0,3385,4.133,470.6,2.50846,2.43090,5.098
1950,46.5,73.5,2191,2.675,253.0,3385,4.133,470.6,2.50846,2.43090,5.098
2000,47.6,72.4,2347,2.866,281.5,3218,3.929,440.2,2.54664,2.51960,2.109
2050,48.8,71.2,2347,2.866,281.5,3218,3.929,440.2,2.54664,2.51960,2.109
2100,50.1,69.9,2347,2.866,281.5,3218,3.929,440.2,2.54664,2.51960,2.109
2150,51.3,68.7,2347,2.866,281.5,3218,3.929,440.2,2.54664,2.51960,-2.197
2200,52.5,67.5,2347,2.866,281.5,3218,3.929,440.2,2.54664,2.51960,-2.197
2250,53.7,66.3,2539,3.100,316.4,3018,3.685,403.7,2.58002,2.57161,-2.197
2300,55.0,65.0,2539,3.100,316.4,3018,3.685,403.7,2.58002,2.57161,-6.855
2350,56.2,63.8,2539,3.100,316.4,3018,3.685,403.7,2.58002,2.57161,-6.855
2400,57.5,62.5,2539,3.100,316.4,3018,3.685,403.7,2.58002,2.57161,-10.020
2450,58.7,61.3,2539,3.100,316.4,3018,3.685,403.7,2.58002,2.57161,-10.020
2500,60.0,60.0,2749,3.357,354.7,2820,3.443,367.7,2.59562,2.60318,-13.359
2550,61.3,58.7,2749,3.357,354.7,2820,3.443,367.7,2.59562,2.60318,-13.359
2600,62.5,57.5,2749,3.357,354.7,2820,3.443,367.7,2.59562,2.60318,-13.359
2650,63.8,56.2,2749,3.357,354.7,2820,3.443,367.7,2.59562,2.60318,-18.193
2700,65.0,55.0,2749,3.357,354.7,2820,3.443,367.7,2.59562,2.60318,-18.193
2750,66.3,53.7,2953,3.606,391.9,2609,3.186,329.2,2.59221,2.60767,-18.193
2800,67.5,52.5,2953,3.606,391.9,2609,3.186,329.2,2.59221,2.60767,-22.939
2850,68.7,51.3,2953,3.606,391.9,2609,3.186,329.2,2.59221,2.60767,-22.939
2900,70.0,50.0,2953,3.606,391.9,2609,3.186,329.2,2.59221,2.60767,-26.191
2950,71.2,48.8,2953,3.606,391.9,2609,3.186,329.2,2.59221,2.60767,-26.191
3000,72.4,47.6,3153,3.850,428.3,2411,2.944,293.1,2.56603,2.58978,-26.191
3050,73.6,46.4,3153,3.850,428.3,2411,2.944,293.1,2.56603,2.58978,-30.498
3100,74.7,45.3,3153,3.850,428.3,2411,2.944,293.1,2.56603,2.58978,-30.498
3150,75.9,44.1,3153,3.850,428.3,2411,2.944,293.1,2.56603,2.58978,-30.498
3200,77.0,43.0,3153,3.850,428.3,2411,2.944,293.1,2.56603,2.58978,-35.068
3250,78.2,41.8,3349,4.089,464.1,2216,2.706,257.6,2.51728,2.52848,-35.068
3300,79.3,40.7,3349,4.089,464.1,2216,2.706,257.6,2.51728,2.52848,-35.068
3350,80.4,39.6,3349,4.089,464.1,2216,2.706,257.6,2.51728,2.52848,-39.551
3400,81.4,38.6,3349,4.089,464.1,2216,2.706,257.6,2.51728,2.52848,-39.551
3450,82.5,37.5,3349,4.089,464.1,2216,2.706,257.6,2.51728,2.52848,-39.551
3500,83.5,36.5,3531,4.311,497.2,2042,2.493,225.9,2.45200,2.43582,-43.682
3550,84.5,35.5,3531,4.311,497.2,2042,2.493,225.9,2.45200,2.43582,-43.682
3600,85.5,34.5,3531,4.311,497.2,2042,2.493,225.9,2.45200,2.43582,-43.682
3650,86.5,33.5,3531,4.311,497.2,2042,2.493,225.9,2.45200,2.43582,-47.373
3700,87.4,32.6,3531,4.311,497.2,2042,2.493,225.9,2.45200,2.43582,-47.373
3750,88.3,31.7,3690,4.505,526.2,1877,2.292,195.8,2.32348,2.32826,-47.373
3800,89.2,30.8,3690,4.505,526.2,1877,2.292,195.8,2.32348,2.32826,-50.801
3850,90.0,30.0,3690,4.505,526.2,1877,2.292,195.8,2.32348,2.32826,-50.801
3900,90.8,29.2,3690,4.505,526.2,1877,2.292,195.8,2.32348,2.32826,-52.910
3950,91.6,28.4,3805,4.646,547.2,1760,2.149,174.5,2.25207,2.26828,-52.910
4000,92.4,27.6,3805,4.646,547.2,1760,2.149,174.5,2.25207,2.26828,-52.910
4050,93.1,26.9,3805,4.646,547.2,1760,2.149,174.5,2.25207,2.26828,-55.635
4100,93.8,26.2,3805,4.646,547.2,1760,2.149,174.5,2.25207,2.26828,-55.635
