ms,valve_a_pct,valve_b_pct,enc_deg
0,20.0,100.0,0.000
50,20.0,100.0,0.000
100,20.0,100.0,0.000
150,20.0,100.0,0.000
200,20.0,100.0,0.088
250,20.0,100.0,0.352
300,20.0,100.0,0.615
350,20.0,100.0,0.703
400,20.0,100.0,0.967
450,20.0,100.0,1.318
500,20.0,100.0,1.758
551,20.0,100.0,2.197
610,20.2,99.8,2.637
650,20.8,99.2,2.900
700,21.7,98.3,3.164
750,22.5,97.5,3.428
804,23.4,96.6,3.691
850,24.2,95.8,3.779
902,25.0,95.0,3.779
950,25.8,94.2,3.779
1000,26.7,93.3,3.779
1051,27.5,92.5,3.779
1101,28.3,91.7,3.779
1150,29.2,90.8,3.779
1200,30.0,90.0,3.779
1250,30.8,89.2,3.779
1300,31.7,88.3,3.779
1350,32.5,87.5,3.779
1400,33.3,86.7,3.779
1450,34.2,85.8,3.779
1500,35.0,85.0,3.779
1550,35.8,84.2,3.691
1600,36.7,83.3,3.691
1651,37.5,82.5,3.691
1700,38.3,81.7,3.604
1750,39.2,80.8,3.604
1802,40.0,80.0,3.516
1851,40.8,79.2,3.516
1900,41.7,78.3,3.428
1950,42.5,77.5,3.340
2000,43.3,76.7,3.252
2050,44.2,75.8,3.164
2100,45.0,75.0,2.988
2150,45.8,74.2,2.900
2200,46.7,73.3,2.812
2250,47.5,72.5,2.725
2300,48.3,71.7,2.549
2350,49.2,70.8,2.461
2400,50.0,70.0,2.373
2450,50.8,69.2,2.197
2500,51.7,68.3,2.021
2550,52.5,67.5,1.846
2600,53.3,66.7,1.758
2650,54.2,65.8,1.582
2700,55.0,65.0,1.406
2750,55.8,64.2,1.230
2800,56.7,63.3,1.055
2850,57.5,62.5,0.879
2900,58.3,61.7,0.703
2950,59.2,60.8,0.439
3000,60.0,60.0,-0.176
3050,60.8,59.2,-1.318
3100,61.7,58.3,-2.285
3150,62.5,57.5,-3.164
3200,63.3,56.7,-3.955
3250,64.2,55.8,-4.746
3300,65.0,55.0,-5.625
3350,65.8,54.2,-6.592
3400,66.7,53.3,-7.559
3450,67.5,52.5,-8.350
3500,68.3,51.7,-9.141
3550,69.2,50.8,-10.107
3600,70.0,50.0,-10.986
3650,70.8,49.2,-11.777
3700,71.7,48.3,-12.568
3750,72.5,47.5,-13.447
3800,73.3,46.7,-14.414
3850,74.2,45.8,-15.469
3900,75.0,45.0,-16.436
3950,75.8,44.2,-17.227
4000,76.7,43.3,-18.018
4050,77.5,42.5,-18.984
4100,78.3,41.7,-19.951
4150,79.2,40.8,-20.742
4200,80.0,40.0,-21.357
4250,80.8,39.2,-22.148
4300,81.7,38.3,-23.115
4350,82.5,37.5,-24.258
4400,83.3,36.7,-25.225
4450,84.2,35.8,-25.928
4500,85.0,35.0,-26.719
4550,85.8,34.2,-27.422
4600,86.7,33.3,-27.949
4650,87.5,32.5,-28.828
4700,88.3,31.7,-29.707
4750,89.2,30.8,-30.674
4800,90.0,30.0,-31.553
4850,90.8,29.2,-32.344
4900,91.7,28.3,-32.871
4951,92.5,27.5,-33.398
5000,93.3,26.7,-33.926
5050,94.2,25.8,-34.629
5100,95.0,25.0,-35.508
5150,95.8,24.2,-36.387
5200,96.7,23.3,-37.002
5250,97.5,22.5,-37.529
5300,98.3,21.7,-37.969
5351,99.2,20.8,-38.408
5400,100.0,20.0,-38.936
5450,100.0,20.0,-39.463
5501,100.0,20.0,-39.990
5551,100.0,20.0,-40.078
5600,100.0,20.0,-40.078
5650,100.0,20.0,-40.078
5700,100.0,20.0,-40.078
5750,100.0,20.0,-40.078
5800,100.0,20.0,-40.078
5850,100.0,20.0,-40.078
5900,100.0,20.0,-40.078
5950,100.0,20.0,-40.078
6000,100.0,20.0,-40.078
6050,100.0,20.0,-40.078
