ms,valve_a_pct,valve_b_pct,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x1B,tension_0x2B,enc_deg
0,20.0,95.0,828,1.011,4.6,3587,4.380,507.4,,,0.000
50,20.0,95.0,828,1.011,4.6,3587,4.380,507.4,,,0.000
100,20.1,95.0,828,1.011,4.6,3587,4.380,507.4,,,0.000
150,20.2,95.0,828,1.011,4.6,3587,4.380,507.4,,,0.000
200,20.3,95.0,828,1.011,4.6,3075,3.755,414.1,2.17135,2.42563,0.000
250,20.5,95.0,828,1.011,4.6,3075,3.755,414.1,2.17135,2.42563,0.000
300,20.7,95.0,828,1.011,4.6,3075,3.755,414.1,2.17135,2.42563,0.000
350,21.0,95.0,828,1.011,4.6,3075,3.755,414.1,2.17135,2.42563,0.000
400,21.3,95.0,827,1.010,4.5,2819,3.442,367.5,2.17142,2.42631,0.000
450,21.6,95.0,827,1.010,4.5,2819,3.442,367.5,2.17142,2.42631,2.373
500,22.0,95.0,827,1.010,4.5,2819,3.442,367.5,2.17142,2.42631,2.373
550,22.4,95.0,827,1.010,4.5,2819,3.442,367.5,2.17142,2.42631,2.373
600,22.8,95.0,827,1.010,4.5,2819,3.442,367.5,2.17142,2.42631,7.295
650,23.3,95.0,827,1.010,4.5,2563,3.129,320.8,2.20872,2.42636,7.295
700,23.8,95.0,827,1.010,4.5,2563,3.129,320.8,2.20872,2.42636,9.492
750,24.4,95.0,827,1.010,4.5,2563,3.129,320.8,2.20872,2.42636,9.492
800,24.9,95.0,827,1.010,4.5,2563,3.129,320.8,2.20872,2.42636,9.492
850,25.6,94.4,828,1.011,4.6,519,0.634,-51.7,2.30665,2.48554,11.953
900,26.2,93.8,828,1.011,4.6,519,0.634,-51.7,2.30665,2.48554,11.953
950,26.9,93.1,828,1.011,4.6,519,0.634,-51.7,2.30665,2.48554,11.953
1000,27.6,92.4,828,1.011,4.6,519,0.634,-51.7,2.30665,2.48554,12.568
1050,28.4,91.6,828,1.011,4.6,519,0.634,-51.7,2.30665,2.48554,12.568
1100,29.2,90.8,1502,1.834,127.5,1542,1.883,134.8,2.46355,2.55063,12.568
1150,30.0,90.0,1502,1.834,127.5,1542,1.883,134.8,2.46355,2.55063,12.568
