ms,valve_a_pct,valve_b_pct,enc_deg
10650,32.5,87.5,0.879
10700,31.7,88.3,0.879
10750,30.8,89.2,0.879
10800,30.0,90.0,0.879
10850,29.2,90.8,0.879
10900,28.3,91.7,0.879
10950,27.5,92.5,0.879
11000,26.7,93.3,0.791
11050,25.8,94.2,0.791
11100,25.0,95.0,0.791
11150,24.2,95.8,0.791
11200,23.3,96.7,0.791
11250,22.5,97.5,0.791
11300,21.7,98.3,0.791
11350,20.8,99.2,0.791
11400,20.0,100.0,0.791
11450,20.0,100.0,0.791
11500,20.0,100.0,0.791
11550,20.0,100.0,0.791
11600,20.0,100.0,0.791
11650,20.0,100.0,0.791
11700,20.0,100.0,0.791
11750,20.0,100.0,0.703
11800,20.0,100.0,0.703
11850,20.0,100.0,0.703
11900,20.0,100.0,0.703
11950,20.0,100.0,0.703
