ms,valve_a_pct,valve_b_pct,q_des,qdes_esn,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
0,20.0,100.0,-54.4871616668912,-54.4871616668912,,2790,3.406593406593407,362.184065934066,2781,3.395604395604396,360.5439560439561,2.780296159224466,2.744425130575856,0.0
33,30.61727897093136,92.38691333494036,-31.6110561412277,-31.6110561412277,,2704,3.3015873015873014,346.51190476190476,2860,3.492063492063492,374.94047619047615,2.7873068806336296,2.7442219251617064,-0.263671875
67,37.32649382063495,84.9188202064554,-24.30491503722794,-24.30491503722794,,2654,3.2405372405372406,337.4001831501832,2902,3.5433455433455436,382.5943223443224,2.7873068806336296,2.731569920389045,-2.8125
100,41.29298867899114,80.38914279439199,-21.46185274617804,-21.46185274617804,,2592,3.1648351648351647,326.10164835164835,2936,3.584859584859585,388.7902930402931,2.7795199792594296,2.7476543906696267,-5.361328125
133,45.522520634652366,75.43695499518208,-18.878697291495172,-18.878697291495172,,2513,3.0683760683760686,311.70512820512823,3024,3.6923076923076925,404.8269230769231,2.7670880242123808,2.7476543906696267,-6.328125
167,43.63314978258832,77.87763311044309,-19.11702776131442,-19.11702776131442,,2457,3.0,301.5,3047,3.7203907203907205,409.01831501831504,2.774665008421659,2.7210834527714622,-9.140625
200,46.54366511332119,74.1661339727952,-18.512967148772887,-18.512967148772887,,2403,2.9340659340659343,291.65934065934067,3115,3.8034188034188032,421.41025641025635,2.774665008421659,2.7300331832116345,-10.986328125
233,47.336792354553054,72.80633979408016,-17.547835764665486,-17.547835764665486,,2372,2.8962148962148966,286.01007326007334,3166,3.8656898656898657,430.70421245421244,2.7493054281414766,2.706734662527065,-12.12890625
267,48.359939064016025,71.77097349483006,-17.69177475257156,-17.69177475257156,,2386,2.9133089133089136,288.5613553113553,3154,3.851037851037851,428.5173992673993,2.7562043223577555,2.706734662527065,-13.798828125
300,50.74533936055124,69.79192091677199,-15.137771060794279,-15.137771060794279,,2368,2.8913308913308917,285.2811355311356,3168,3.868131868131868,431.0686813186813,2.7447923184403544,2.7274775929062054,-12.744140625
333,50.88937847873177,69.23419391766033,-13.580895227820804,-13.580895227820804,,2385,2.9120879120879124,288.37912087912093,3157,3.8547008547008548,429.06410256410254,2.7646062645600327,2.705858108885491,-12.48046875
367,52.08053495781287,68.21034283996981,-12.696288739678081,-12.696288739678081,,2433,2.970695970695971,297.1263736263736,3170,3.8705738705738706,431.43315018315013,2.7646062645600327,2.733993632824707,-13.0078125
400,56.73215380787319,64.00433065097903,-9.036199993348625,-9.036199993348625,,2473,3.0195360195360195,304.4157509157509,3098,3.7826617826617825,418.312271062271,2.7537681205563325,2.733993632824707,-10.986328125
433,59.96875521209579,60.09956537728682,-5.7507356924033,-5.7507356924033,,2558,3.1233211233211233,319.9056776556776,3013,3.678876678876679,402.82234432234435,2.7690230483882896,2.732902163624431,-9.140625
467,64.17561185879919,56.68498971702214,-1.6778034971527092,-1.6778034971527092,,2639,3.2222222222222223,334.6666666666667,2919,3.5641025641025643,385.69230769230774,2.768905341224979,2.7423333806388484,-6.240234375
500,65.84507706475065,54.187067177359715,2.016196670680097,2.016196670680097,,2709,3.3076923076923075,347.4230769230769,2854,3.484737484737485,373.8470695970696,2.768905341224979,2.7361965469741487,-3.33984375
533,68.89353470789737,51.75703735820479,4.379393367560741,4.379393367560741,,2792,3.4090354090354094,362.54853479853483,2762,3.372405372405373,357.0815018315019,2.7833935491827666,2.7361965469741487,-1.40625
567,70.41953520938316,49.387162231049054,7.150889871501068,7.150889871501068,,2850,3.47985347985348,373.11813186813185,2688,3.282051282051282,343.5961538461538,2.7695629361052982,2.746324506303505,1.142578125
600,72.12286361766408,48.0305827063416,8.926233534092166,8.926233534092166,,2915,3.5592185592185595,384.96336996337,2626,3.2063492063492065,332.29761904761904,2.7723842362837923,2.73930749553037,2.900390625
633,74.449441941453,45.19622877750032,11.052298010557067,11.052298010557067,,2986,3.645909645909646,397.90201465201466,2539,3.1001221001221,316.4432234432235,2.7723842362837923,2.737988597318468,5.009765625
667,77.00933576279176,42.88998553705923,13.810478406062343,13.810478406062343,,3044,3.716727716727717,408.47161172161174,2477,3.0244200244200243,305.14468864468864,2.7569880404592073,2.737988597318468,7.646484375
700,79.06826648457012,41.45204082531196,16.442920753545057,16.442920753545057,,3102,3.7875457875457874,419.04120879120876,2414,2.9474969474969477,293.6639194139195,2.754155686953937,2.7545027472311894,10.01953125
734,83.10767305258221,37.85120444033164,19.220646427291754,19.220646427291754,,3178,3.8803418803418803,432.8910256410256,2340,2.8571428571428568,280.1785714285714,2.731698769893949,2.7313038036102224,12.12890625
767,89.78624181955635,31.230234248483512,23.15324316095451,23.15324316095451,,3222,3.934065934065934,440.9093406593406,2291,2.797313797313797,271.2490842490842,2.731698769893949,2.7396529869154027,14.501953125
800,99.87226569299172,21.23865676542881,28.194484678593152,28.194484678593152,,3279,4.003663003663004,451.2967032967033,2208,2.6959706959706957,256.12362637362634,2.722958797151186,2.7396529869154027,16.787109375
833,100.0,20.0,32.1074340801471,32.1074340801471,,3336,4.073260073260073,461.68406593406587,2155,2.6312576312576312,246.46520146520146,2.699961548135809,2.7580556427037948,18.720703125
