ms,valve_a_pct,valve_b_pct,q_des,q_des_csv,qdes_esn,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
1,65.5625498649377,55.536990054004185,12.362313699744082,-0.2669533228918777,-0.2669533228918777,,2799,3.417582417582418,363.8241758241759,2777,3.390720390720391,359.8150183150184,2.77180898850294,2.7328757305079425,0.0
33,64.93288446276864,56.160572038769864,12.362313699744082,-1.7184931613929013,-1.7184931613929013,,2787,3.4029304029304033,361.6373626373627,2778,3.3919413919413923,359.9972527472528,2.77180898850294,2.7331677455182795,0.0
67,67.82750136343229,53.5706774997475,12.362313699744082,-2.611605107780022,-2.611605107780022,,2865,3.498168498168498,375.85164835164835,2742,3.3479853479853476,353.43681318681314,2.772590577832036,2.7331677455182795,0.52734375
100,69.80187402173559,50.608822811951605,12.362313699744082,-1.9401585731478708,-1.9401585731478708,,2928,3.5750915750915753,387.3324175824176,2675,3.266178266178266,341.2271062271062,2.770913346395628,2.7604357564675057,2.4609375
133,71.51370176156394,48.35194871966305,12.362313699744082,-0.6048867670120721,-0.6048867670120721,,2988,3.6483516483516483,398.26648351648345,2591,3.1636141636141635,325.91941391941384,2.7775548903091667,2.74764091197734,4.658203125
167,74.10734525735549,45.50339893300733,12.362313699744082,1.367868532653885,1.367868532653885,,3068,3.746031746031746,412.8452380952381,2523,3.0805860805860807,313.5274725274725,2.7775548903091667,2.753903518531102,6.85546875
200,75.21248552956811,44.432124607197224,12.362313699744082,3.82895039101256,3.82895039101256,,3117,3.8058608058608057,421.7747252747252,2451,2.9926739926739927,300.4065934065934,2.762548256257414,2.753903518531102,9.140625
233,76.9202683651898,43.03075604922541,12.362313699744082,5.781135621305029,5.781135621305029,,3192,3.8974358974358974,435.4423076923077,2383,2.90964590964591,288.01465201465203,2.7535380757128745,2.740303891283923,11.337890625
267,77.84956784334125,43.16244152866797,12.362313699744082,6.152384309187384,6.152384309187384,,3246,3.963369963369963,445.282967032967,2325,2.8388278388278385,277.4450549450549,2.7312004692626313,2.728377550900758,13.359375
300,78.14873439930156,44.17082405995924,12.362313699744082,5.404871977102427,5.404871977102427,,3286,4.012210012210012,452.5723443223443,2243,2.7387057387057387,262.5018315018315,2.7312004692626313,2.710754871725869,15.46875
333,77.70747601582889,44.48632339423118,12.362313699744082,4.744428182130264,4.744428182130264,,3354,4.095238095238095,464.96428571428567,2247,2.7435897435897436,263.2307692307692,2.717244865653808,2.710754871725869,17.314453125
367,76.94370113440928,43.60914846478323,12.362313699744082,4.527564652578771,4.527564652578771,,3385,4.133089133089133,470.613553113553,2242,2.7374847374847375,262.3195970695971,2.717406682609127,2.757654946597864,18.017578125
