ms,valve_a_pct,valve_b_pct,q_des,qdes_esn,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
0,66.74562011200858,54.526724887045,4.479482976196216,4.479482976196216,,2787,3.4029304029304033,361.6373626373627,2793,3.4102564102564106,362.7307692307692,2.785864117370092,2.740739859980086,0.0
33,68.78329752440722,52.680508006467555,5.021048589229274,5.021048589229274,,2839,3.4664224664224665,371.1135531135531,2736,3.3406593406593403,352.34340659340654,2.785864117370092,2.740787398432215,0.0
67,71.89528391629663,48.88483491539072,6.4803215017013045,6.4803215017013045,,2894,3.533577533577534,381.13644688644695,2654,3.2405372405372406,337.4001831501832,2.78611214604754,2.7545951210992294,1.40625
101,72.34375165811375,46.7274193932975,9.84269329240486,9.84269329240486,,2953,3.6056166056166057,391.88827838827837,2598,3.172161172161172,327.1950549450549,2.764571708431501,2.7545951210992294,4.921875
133,74.4741807686146,45.80524654531698,10.1575633137223,10.1575633137223,,3016,3.682539682539683,403.36904761904765,2519,3.075702075702076,312.79853479853483,2.7845604552540824,2.7286650121020974,6.416015625
167,76.81148662309106,43.248619193254115,10.518413780080245,10.518413780080245,,3096,3.78021978021978,417.94780219780216,2437,2.9755799755799757,297.85531135531136,2.7845604552540824,2.7403514183935638,8.26171875
200,77.26516958486916,45.21264944353316,13.330434865949073,13.330434865949073,,3128,3.819291819291819,423.77930402930394,2393,2.921855921855922,289.8369963369964,2.743517221612449,2.7229201280171123,11.865234375
233,77.64889988318289,42.21929971709263,12.943737435997292,12.943737435997292,,3198,3.9047619047619047,436.5357142857142,2342,2.859584859584859,280.54304029304024,2.7559654124251205,2.7229201280171123,13.53515625
267,79.57894111306852,41.18656653783524,12.720936252636228,12.720936252636228,,3274,3.9975579975579976,450.38553113553115,2278,2.7814407814407813,268.8800366300366,2.7327383459512857,2.7267367492917103,15.029296875
300,82.18445808960008,40.299373561079136,14.309769159572781,14.309769159572781,,3317,4.05006105006105,458.2216117216117,2219,2.709401709401709,258.1282051282051,2.7253840642219527,2.731810579950815,17.490234375
333,85.13811316459294,37.868597429729114,16.004774811322036,16.004774811322036,,3369,4.113553113553113,467.6978021978021,2157,2.6336996336996337,246.8296703296703,2.7253840642219527,2.7580074984703957,19.599609375
367,88.18780261667852,34.67545499617958,17.75927608567322,17.75927608567322,,3454,4.2173382173382175,483.18772893772893,2098,2.5616605616605614,236.07783882783878,2.7067643528634266,2.7580074984703957,21.26953125
400,89.57549195112419,34.13057241628824,20.60979402842124,20.60979402842124,,3497,4.26984126984127,491.02380952380946,2091,2.553113553113553,234.80219780219778,2.6800192379686334,2.7553078312722676,23.5546875
433,90.21631946484663,33.017611001703095,22.87019975921801,22.87019975921801,,3541,4.323565323565324,499.0421245421246,1985,2.4236874236874235,215.48534798534797,2.6708610520458542,2.7250841143116475,25.6640625
467,91.0838335590622,31.5033653661885,23.84880541299286,23.84880541299286,,3587,4.37973137973138,507.4249084249085,1930,2.3565323565323566,205.46245421245422,2.6708610520458542,2.7075313205056317,27.0703125
500,92.52448233360809,31.090265701296378,25.349986800712674,25.349986800712674,,3631,4.433455433455434,515.4432234432235,1874,2.288156288156288,195.257326007326,2.6361327861574186,2.7075313205056317,28.916015625
533,93.418895793176,29.995283959606105,26.69488460453694,26.69488460453694,,3684,4.498168498168498,525.1016483516484,1825,2.2283272283272284,186.32783882783883,2.6237138619883145,2.6849631735777977,30.76171875
567,93.25644109829179,30.147594865716997,27.411680557246143,27.411680557246143,,3726,4.549450549450549,532.7554945054944,1774,2.1660561660561664,177.03388278388283,2.5988456724932996,2.654771179807796,32.16796875
600,93.2019908383427,29.885423126482497,28.024741912760444,28.024741912760444,,3754,4.583638583638583,537.8580586080586,1777,2.16971916971917,177.5805860805861,2.5988456724932996,2.6396651940672315,33.3984375
635,94.55609245241291,27.57767431219608,27.476368550339128,27.476368550339128,,3820,4.6642246642246645,549.8855311355312,1783,2.1770451770451773,178.6739926739927,2.6011977520768803,2.6396651940672315,33.662109375
667,96.89248271127715,25.082533838887684,26.663998924107897,26.663998924107897,,3883,4.741147741147741,561.3663003663003,1768,2.158730158730159,175.94047619047623,2.6048174497757857,2.6440847742332467,33.486328125
700,99.60380448508597,24.037195257885525,28.57675110744384,28.57675110744384,,3901,4.763125763125763,564.6465201465202,1713,2.0915750915750917,165.91758241758242,2.5883296597140784,2.658003681117912,35.244140625
733,99.2428850545318,23.467223604150004,30.20245841826413,30.20245841826413,,3933,4.802197802197802,570.4780219780218,1659,2.0256410256410255,156.07692307692307,2.5883296597140784,2.6161474252586947,37.08984375
