ms,valve_a_pct,valve_b_pct,q_des,q_des_csv,qdes_esn,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
1,100.0,20.0,12.362313699744082,56.66227576808938,56.66227576808938,,2798,3.4163614163614167,363.64194139194143,2791,3.407814407814408,362.36630036630044,2.778264085898469,2.7779164626530015,0.0
33,100.0,20.0,12.362313699744082,33.76202063945434,33.76202063945434,,2841,3.468864468864469,371.478021978022,2707,3.305250305250305,347.058608058608,2.7800228904033433,2.7805207334105,0.087890625
67,100.0,20.0,12.362313699744082,28.809220283080464,28.809220283080464,,2923,3.568986568986569,386.42124542124543,2641,3.2246642246642248,335.03113553113553,2.760330764496575,2.770764297951254,3.427734375
100,100.0,20.0,12.362313699744082,27.64559863714539,27.64559863714539,,2960,3.614163614163614,393.1639194139194,2565,3.131868131868132,321.18131868131866,2.760330764496575,2.770764297951254,5.80078125
133,100.0,20.0,12.362313699744082,26.74037133155521,26.74037133155521,,3049,3.722832722832723,409.3827838827839,2475,3.021978021978022,304.78021978021974,2.7776348836831546,2.757471141679224,6.591796875
167,100.0,20.0,12.362313699744082,28.64000411638908,28.64000411638908,,3115,3.8034188034188032,421.41025641025635,2418,2.9523809523809526,294.39285714285717,2.733847553283488,2.7668945081138734,9.052734375
200,100.0,20.0,12.362313699744082,30.390985755888572,30.390985755888572,,3163,3.862026862026862,430.15750915750914,2359,2.88034188034188,283.6410256410256,2.75903983746615,2.76481674257321,11.07421875
233,100.0,20.0,12.362313699744082,31.14024512700742,31.14024512700742,,3240,3.9560439560439558,444.18956043956035,2283,2.7875457875457874,269.79120879120876,2.75903983746615,2.76481674257321,12.216796875
267,100.0,20.0,12.362313699744082,33.168801108309616,33.168801108309616,,3303,4.032967032967033,455.67032967032964,2223,2.714285714285714,258.8571428571428,2.704635007890713,2.76997485557414,14.58984375
300,100.0,20.0,12.362313699744082,34.61749410819276,34.61749410819276,,3338,4.075702075702075,462.0485347985348,2164,2.642246642246642,248.10531135531133,2.7089811459258235,2.750181925406224,16.5234375
334,100.0,20.0,12.362313699744082,34.951658343551856,34.951658343551856,,3403,4.155067155067155,473.89377289377296,2102,2.5665445665445663,236.8067765567765,2.673977819093465,2.740843581833899,17.490234375
367,100.0,20.0,12.362313699744082,36.61312387977087,36.61312387977087,,3459,4.2234432234432235,484.0989010989011,2040,2.490842490842491,225.50824175824175,2.673977819093465,2.740843581833899,19.6875
400,100.0,20.0,12.362313699744082,37.97112286565889,37.97112286565889,,3518,4.295482295482295,494.85073260073256,1998,2.4395604395604393,217.85439560439556,2.6602355122745744,2.725781880303949,21.97265625
433,100.0,20.0,12.362313699744082,37.5606775020141,37.5606775020141,,3562,4.34920634920635,502.8690476190476,1933,2.3601953601953602,206.00915750915752,2.6435527919559436,2.6929406659828397,23.115234375
467,100.0,20.0,12.362313699744082,37.43129739378602,37.43129739378602,,3621,4.4212454212454215,513.6208791208792,1876,2.2905982905982905,195.62179487179483,2.611970125676633,2.684548973399845,24.697265625
500,100.0,20.0,12.362313699744082,37.636664854894505,37.636664854894505,,3655,4.462759462759463,519.8168498168499,1824,2.227106227106227,186.1456043956044,2.611970125676633,2.684548973399845,26.455078125
533,100.0,20.0,12.362313699744082,37.41309686295748,37.41309686295748,,3712,4.532356532356532,530.2042124542124,1769,2.1599511599511603,176.12271062271068,2.604741086492378,2.640770472958471,27.59765625
567,100.0,20.0,12.362313699744082,37.53382070831622,37.53382070831622,,3740,4.566544566544566,535.3067765567765,1728,2.10989010989011,168.65109890109892,2.567552313663449,2.6313792358589687,29.00390625
600,100.0,20.0,12.362313699744082,37.56251569508573,37.56251569508573,,3785,4.621489621489622,543.5073260073261,1669,2.0378510378510377,157.8992673992674,2.563908738141463,2.579838158596714,30.234375
633,100.0,20.0,12.362313699744082,37.49764591963041,37.49764591963041,,3833,4.68009768009768,552.2545787545787,1621,1.979242979242979,149.15201465201463,2.5280668311504955,2.574594944383684,31.2890625
667,100.0,20.0,12.572701318246205,37.55146427208415,37.55146427208415,,3881,4.738705738705739,561.0018315018315,1562,1.907203907203907,138.40018315018312,2.5280668311504955,2.574594944383684,32.431640625
700,100.0,20.0,20.563629029674416,37.87065568895852,37.87065568895852,,3913,4.777777777777778,566.8333333333333,1526,1.8632478632478633,131.8397435897436,2.5208301460589566,2.5284129350621294,33.75
733,100.0,20.0,20.563629029674416,38.08392311725467,38.08392311725467,,3937,4.807081807081807,571.2069597069597,1483,1.8107448107448108,124.00366300366301,2.491472869482017,2.4979243077473994,34.716796875
767,100.0,20.0,20.563629029674416,38.45064117459906,38.45064117459906,,3963,4.8388278388278385,575.9450549450548,1460,1.7826617826617828,119.81227106227108,2.491472869482017,2.485851057764409,35.595703125
800,100.0,20.0,20.563629029674416,38.06881887102547,38.06881887102547,,4002,4.886446886446886,583.0521978021977,1458,1.7802197802197803,119.4478021978022,2.4824960935110134,2.485851057764409,35.947265625
833,100.0,20.0,20.563629029674416,36.83012164780051,36.83012164780051,,4057,4.953601953601954,593.0750915750915,1463,1.7863247863247864,120.35897435897436,2.4865703490203606,2.490952437022074,35.947265625
867,100.0,20.0,20.563629029674416,35.25610450845609,35.25610450845609,,4063,4.960927960927961,594.1684981684981,1473,1.7985347985347986,122.18131868131869,2.4980040801559684,2.5003717285354194,36.123046875
900,100.0,20.0,20.563629029674416,33.36786359456529,33.36786359456529,,4093,4.997557997557998,599.6355311355311,1471,1.7960927960927962,121.81684981684982,2.4980040801559684,2.5137069131141416,36.2109375
933,99.7640528301918,20.0,20.563629029674416,31.60480217017727,31.60480217017727,,4089,4.992673992673993,598.9065934065934,1477,1.8034188034188035,122.91025641025641,2.51023210231487,2.5137069131141416,36.2109375
967,98.9988077030809,20.0,20.563629029674416,30.22816121533678,30.22816121533678,,4081,4.982905982905983,597.4487179487179,1471,1.7960927960927962,121.81684981684982,2.5104374813861314,2.5143029783841637,36.2109375
1000,98.18655881568701,20.100321511783072,20.563629029674416,28.96720635158918,28.96720635158918,,4072,4.971916971916972,595.808608058608,1478,1.8046398046398047,123.09249084249085,2.5127386912856347,2.5164720791224107,36.2109375
1033,97.47174583292066,20.990281389196237,20.563629029674416,27.459985591504026,27.459985591504026,,4067,4.965811965811966,594.8974358974359,1481,1.8083028083028083,123.63919413919413,2.512617160969863,2.5163386006088966,36.2109375
1067,96.72148508445565,21.968499516962158,20.563629029674416,25.56998299676286,25.56998299676286,,4064,4.962148962148962,594.3507326007326,1483,1.8107448107448108,124.00366300366301,2.512617160969863,2.5163386006088966,36.2109375
1101,95.68620861994853,23.193037777581587,20.563629029674416,23.474361728504352,23.474361728504352,,4075,4.975579975579976,596.3553113553114,1484,1.811965811965812,124.18589743589743,2.512495639470722,2.516411245278267,36.2109375
1133,91.63690584414871,27.61720975061276,20.563629029674416,21.33353994227289,21.33353994227289,,4024,4.913308913308913,587.0613553113552,1504,1.8363858363858365,127.83058608058609,2.512527068935196,2.5162933859824577,36.2109375
1167,86.42899121260271,31.922056171329444,20.563629029674416,18.267807407879154,18.267807407879154,,3963,4.8388278388278385,575.9450549450548,1597,1.94993894993895,144.77838827838826,2.5275802726481635,2.524804697628752,35.5078125
1200,80.71114322221625,37.226044551427805,20.563629029674416,15.035464266267077,15.035464266267077,,3858,4.710622710622711,556.8104395604395,1754,2.1416361416361416,173.38919413919413,2.5275802726481635,2.524804697628752,33.22265625
