ms,valve_a_pct,valve_b_pct,q_des,pid_u,tension_0x2B,tension_0x2A
1,50.62635722737129,49.37364277262871,12.362313699744082,1.2527144547425695,2.7974002770139883,2.7542948452713096,-0.0
33,50.634598769755364,49.365401230244636,12.362313699744082,1.2691975395107309,2.7973192691432747,2.7542948452713096,-0.0
67,50.64284031213945,49.35715968786055,12.362313699744082,1.2856806242788918,2.733752838490538,2.741133015463131,-0.0
100,50.651081854523525,49.348918145476475,12.362313699744082,1.3021637090470535,2.733752838490538,2.724314112588023,-0.0
133,50.65932339690761,49.34067660309239,12.362313699744082,1.3186467938152147,2.654355708246935,2.6569906898901405,-0.0
167,50.66756493929169,49.33243506070831,12.362313699744082,1.3351298785833756,2.611050642668513,2.6569906898901405,-0.0
200,50.67580648167577,49.32419351832423,12.362313699744082,1.3516129633515375,2.6008193329033977,2.627817506683344,-0.0
233,50.68404802405985,49.31595197594015,12.362313699744082,1.3680960481196984,2.6008193329033977,2.62457452156281,-0.0
267,50.69228956644393,49.30771043355607,12.362313699744082,1.3845791328878598,2.600536428631121,2.6252797623834887,-0.0
300,50.70053110882801,49.29946889117199,12.362313699744082,1.401062217656021,2.600474375622348,2.6252797623834887,-0.0
333,50.708772651212094,49.291227348787906,12.362313699744082,1.417545302424182,2.6010698908108565,2.625945770573405,-0.0
367,50.71701419359617,49.28298580640383,12.362313699744082,1.4340283871923436,2.6010698908108565,2.625218991985128,-0.0
400,50.725255735980255,49.274744264019745,12.362313699744082,1.4505114719605046,2.602436039447469,2.625663532773989,-0.0
433,50.73349727836433,49.26650272163567,12.362313699744082,1.4669945567286662,2.602191281261417,2.625663532773989,-0.0
467,50.74173882074842,49.25826117925158,12.362313699744082,1.4834776414968274,2.602076625213996,2.626400341446513,-0.0
500,50.749980363132494,49.250019636867506,12.362313699744082,1.4999607262649886,2.602076625213996,2.6254092682480823,-0.0
533,50.75822190551658,49.24177809448342,12.362313699744082,1.51644381103315,2.6025912802992806,2.6254371964671046,-0.0
567,50.766463447900655,49.233536552099345,12.362313699744082,1.5329268958013116,2.6019405613071274,2.625486397522482,-0.0
600,50.77470499028474,49.22529500971526,12.362313699744082,1.549409980569472,2.601556841489576,2.625486397522482,-0.0
633,50.79012720183302,49.20987279816698,12.362313699744082,1.5802544036660442,2.601556841489576,2.6247696459149505,-0.0
667,51.394244527461865,48.605755472538135,12.540322766606367,2.7884890549237316,2.6018970174003035,2.6250041421383354,-0.0
700,51.807970220363224,48.192029779636776,20.563629029674416,3.61594044072645,2.601760967580683,2.6250041421383354,-0.0
733,51.22879068602485,48.77120931397515,20.563629029674416,2.457581372049706,2.5918362210978247,2.6251009298146966,-0.0
767,51.242499771907546,48.757500228092454,20.563629029674416,2.48499954381509,2.590659247485463,2.6138332615141535,-0.0
800,51.256208857790234,48.743791142209766,20.563629029674416,2.512417715580474,2.590659247485463,2.608865357384947,-0.0
833,51.26991794367293,48.73008205632707,20.563629029674416,2.5398358873458586,2.5877060878155786,2.6099235211753022,-0.0
867,51.28362702955562,48.71637297044438,20.563629029674416,2.5672540591112423,2.589988752484611,2.6099235211753022,-0.0
900,51.29733611543831,48.70266388456169,20.563629029674416,2.5946722308766277,2.5895644387259216,2.6093382971196695,-0.0
933,51.31104520132101,48.68895479867899,20.563629029674416,2.6220904026420113,2.5895644387259216,2.6093821713420886,-0.0
967,51.324754287203696,48.675245712796304,20.563629029674416,2.649508574407396,2.591484251036088,2.6092730613512134,-0.0
1000,51.33846337308639,48.66153662691361,20.563629029674416,2.676926746172779,2.590805350097532,2.6092730613512134,-0.0
1033,51.35217245896908,48.64782754103092,20.563629029674416,2.7043449179381636,2.5919281992845895,2.609742956906505,-0.0
1067,51.365881544851774,48.634118455148226,20.563629029674416,2.731763089703548,2.5919281992845895,2.6095930984917524,-0.0
1101,51.37959063073447,48.62040936926553,20.563629029674416,2.7591812614689317,2.592821408739337,2.611817060156634,-0.0
1133,51.39329971661716,48.60670028338284,20.563629029674416,2.7865994332343162,2.5960059865611087,2.611817060156634,-0.0
1167,51.40700880249985,48.59299119750015,20.563629029674416,2.814017604999701,2.5989571220649292,2.6154996734663403,-0.0
1200,51.42071788838254,48.57928211161746,20.563629029674416,2.841435776765085,2.5989571220649292,2.616658197710682,-0.0
1233,51.434426974265236,48.565573025734764,20.563629029674416,2.868853948530469,2.6011378159345684,2.618237239935107,-0.0
1267,51.448136060147924,48.551863939852076,20.563629029674416,2.8962721202958535,2.6012626852354868,2.618237239935107,-0.0
1300,51.46184514603062,48.53815485396938,20.563629029674416,2.9236902920612367,2.601812645268947,2.6196362641468975,-0.0
