ms,valve_a_pct,valve_b_pct,q_des,qdes_esn,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
0,20.0,100.0,-62.99008035232127,-62.99008035232127,,2795,3.412698412698413,363.09523809523813,2796,3.4139194139194142,363.2774725274726,2.78462684163283,2.7401744324739736,0.0
33,20.0,100.0,-53.477548797554434,-53.477548797554434,,2695,3.2905982905982905,344.8717948717948,2873,3.507936507936508,377.3095238095238,2.7993197123121756,2.7396701089471085,-0.263671875
67,20.0,100.0,-47.82545422018848,-47.82545422018848,,2653,3.2393162393162394,337.2179487179487,2898,3.5384615384615388,381.86538461538464,2.7993197123121756,2.7285705665046813,-3.251953125
101,20.0,100.0,-44.871591110778056,-44.871591110778056,,2582,3.1526251526251525,324.279304029304,2950,3.601953601953602,391.34157509157507,2.776621679708153,2.7285705665046813,-6.15234375
133,20.0,100.0,-40.878728258672325,-40.878728258672325,,2504,3.0573870573870576,310.06501831501834,3016,3.682539682539683,403.36904761904765,2.7744878320110575,2.7418797343291215,-7.03125
167,20.0,100.0,-39.52331420234011,-39.52331420234011,,2457,3.0,301.5,3076,3.755799755799756,414.3031135531136,2.7722611332723264,2.715443457433843,-9.4921875
200,20.0,100.0,-38.15306969914451,-38.15306969914451,,2394,2.9230769230769234,290.01923076923083,3122,3.8119658119658117,422.6858974358974,2.7722611332723264,2.7242839800758696,-11.42578125
233,20.0,100.0,-36.44289798472234,-36.44289798472234,,2332,2.847374847374847,278.72069597069594,3172,3.873015873015873,431.79761904761904,2.753716513394186,2.7242839800758696,-12.744140625
267,20.0,100.0,-36.55236131794291,-36.55236131794291,,2283,2.7875457875457874,269.79120879120876,3234,3.9487179487179485,443.0961538461538,2.7552081098699097,2.6946228229426468,-15.380859375
300,20.0,100.0,-36.36981171555257,-36.36981171555257,,2221,2.7118437118437115,258.49267399267393,3270,3.9926739926739927,449.6565934065934,2.727940696865838,2.6961339709209406,-16.962890625
