ms,valve_a_pct,valve_b_pct,q_des,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg,qdes_esn
1,73.34801392220187,48.54966552871637,12.362313699744082,,,2788,3.4041514041514045,361.8195970695971,2776,3.38949938949939,359.63278388278394,2.791650628014248,2.7619414039692565,0.0
34,75.02465635677221,47.09155292786978,12.362313699744082,,,2826,3.4505494505494507,368.7445054945055,2741,3.3467643467643464,353.25457875457874,2.791650628014248,2.7618933140904423,0.0
67,77.71514969677162,41.96048546239432,12.362313699744082,,,2915,3.5592185592185595,384.96336996337,2631,3.2124542124542126,333.2087912087912,2.7723842362837923,2.7714883153687224,2.548828125
100,75.6786971698462,43.8187405638657,12.362313699744082,,,2961,3.6153846153846154,393.34615384615387,2580,3.15018315018315,323.91483516483515,2.787563809363473,2.7714883153687224,5.44921875
133,76.69810389745689,44.26706878030095,12.362313699744082,,,3040,3.711843711843712,407.742673992674,2478,3.0256410256410255,305.32692307692304,2.7720323781515295,2.763776158499874,6.50390625
167,77.5723144664014,43.116579102667,12.362313699744082,,,3092,3.7753357753357752,417.2188644688644,2420,2.954822954822955,294.757326007326,2.7720323781515295,2.787563809363473,8.701171875
200,78.61594455155351,43.29116338863881,12.362313699744082,,,3149,3.844932844932845,427.6062271062271,2369,2.892551892551893,285.46336996337004,2.7543377610253796,2.769040446488502,11.6015625
233,80.15838887908073,40.06823622529067,12.362313699744082,,,3223,3.935286935286935,441.09157509157507,2292,2.7985347985347984,271.43131868131866,2.755381731279728,2.7855324624132325,12.83203125
267,81.58032021688679,40.1910114611994,12.362313699744082,,,3267,3.989010989010989,449.1098901098901,2237,2.731379731379731,261.4084249084249,2.7265183530302117,2.7855324624132325,14.58984375
300,84.44839761488151,38.55456864804323,12.362313699744082,,,3339,4.076923076923077,462.23076923076917,2188,2.6715506715506714,252.4789377289377,2.7265183530302117,2.7786606167069037,16.69921875
333,85.24229092935454,37.381663238897985,12.362313699744082,,,3388,4.136752136752136,471.16025641025635,2114,2.5811965811965814,238.99358974358975,2.7282536882923947,2.766942885235303,18.017578125
367,86.43091610364493,38.5212764430736,12.362313699744082,,,3434,4.192918192918193,479.5430402930403,2059,2.514041514041514,228.97069597069597,2.692310169280007,2.752481793990533,20.56640625
400,87.01724051569842,38.67777034781404,12.362313699744082,,,3488,4.258852258852259,489.3836996336996,2049,2.501831501831502,227.14835164835165,2.690248136499637,2.752481793990533,22.8515625
433,85.80193449982681,36.20650942949824,12.362313699744082,,,3548,4.332112332112333,500.31776556776566,2054,2.507936507936508,228.0595238095238,2.690248136499637,2.722492988243253,23.291015625
467,87.08528696685407,33.961513436372876,12.362313699744082,,,3583,4.374847374847375,506.69597069597074,2047,2.4993894993894994,226.78388278388277,2.6968836188470604,2.746186106386738,23.115234375
500,91.43937941435955,33.696295797484325,12.362313699744082,,,3626,4.427350427350428,514.5320512820513,1978,2.415140415140415,214.20970695970692,2.6927430013512152,2.7427917750455846,24.521484375
533,90.57381273621141,35.31408988451231,12.362313699744082,,,3669,4.47985347985348,522.368131868132,1931,2.357753357753358,205.64468864468864,2.6765381086147495,2.7427917750455846,26.982421875
567,88.91208987835395,34.97172687313831,12.362313699744082,,,3707,4.526251526251526,529.2930402930402,1930,2.3565323565323566,205.46245421245422,2.6765381086147495,2.7123560425633535,28.212890625
600,89.19025401764966,33.98344321319685,12.362313699744082,,,3735,4.56043956043956,534.3956043956043,1928,2.354090354090354,205.09798534798534,2.667717271425286,2.706023300923268,28.212890625
633,89.70850245977879,33.46580144131565,12.362313699744082,,,3739,4.565323565323565,535.1245421245421,1933,2.3601953601953602,206.00915750915752,2.667215332873221,2.7154308239051863,27.94921875
667,90.20979491887688,32.87784565339794,12.541020601969507,,,3750,4.5787545787545785,537.1291208791208,1937,2.365079365079365,206.73809523809524,2.670766176742652,2.7154308239051863,28.212890625
700,94.08913283725666,27.086381660101168,20.563629029674416,,,3739,4.565323565323565,535.1245421245421,1903,2.3235653235653237,200.54212454212455,2.6654388652005494,2.717095708212923,28.30078125
735,96.11672074342182,25.828240908145162,20.563629029674416,,,3772,4.605616605616605,541.1382783882783,1861,2.272283272283272,192.88827838827837,2.6654388652005494,2.7183486161612693,29.00390625
768,97.2298219232691,25.841999898389574,20.563629029674416,,,3810,4.652014652014652,548.0631868131869,1795,2.191697191697192,180.8608058608059,2.649709199916106,2.7017602591159258,30.234375
800,97.63595815763225,26.11251963970539,20.563629029674416,,,3835,4.682539682539683,552.6190476190477,1751,2.137973137973138,172.84249084249083,2.6336306754609224,2.7017602591159258,31.728515625
833,97.05419358106965,27.587094012814283,20.563629029674416,,,3877,4.733821733821734,560.2728937728938,1701,2.076923076923077,163.73076923076925,2.6035064409803366,2.6628412686062437,33.046875
867,96.0283175404315,27.678337728247982,20.563629029674416,,,3907,4.77045177045177,565.7399267399267,1682,2.0537240537240535,160.26831501831498,2.6035064409803366,2.639119377590732,34.013671875
900,95.84793436390419,26.609806669483905,20.563629029674416,,,3943,4.814407814407814,572.3003663003662,1688,2.061050061050061,161.36172161172158,2.6055210365669987,2.62514838522004,34.27734375
934,95.36011818803958,26.549216593610183,20.563629029674416,,,3941,4.811965811965812,571.9358974358973,1699,2.0744810744810747,163.3663003663004,2.6002129214782115,2.62514838522004,33.92578125
967,96.29717126832074,26.712847095411362,20.563629029674416,,,3934,4.803418803418803,570.6602564102564,1700,2.075702075702076,163.54853479853483,2.6100275083078692,2.63992299149192,34.189453125
1108,98.49481779407921,24.22596594957222,20.563629029674416,,,3995,4.8778998778998774,581.7765567765567,1696,2.070818070818071,162.81959706959708,2.6066747974773437,2.640376234594335,34.453125
1118,97.19655174802459,25.598160749475014,20.563629029674416,,,3965,4.841269841269841,576.3095238095237,1674,2.043956043956044,158.81043956043953,2.6066747974773437,2.6410202564586918,34.541015625
1125,97.90214300475121,24.68073996930594,20.563629029674416,,,3987,4.868131868131868,580.3186813186812,1690,2.0634920634920633,161.72619047619045,2.6066747974773437,2.6410202564586918,34.541015625
1132,98.00974238579944,24.700156472188212,20.563629029674416,,,3986,4.8669108669108665,580.1364468864468,1670,2.039072039072039,158.0815018315018,2.6066747974773437,2.6410202564586918,34.62890625
1140,97.7586621827885,24.78665850008661,20.563629029674416,,,3989,4.87057387057387,580.6831501831501,1662,2.029304029304029,156.62362637362637,2.5992994966570717,2.6410202564586918,34.62890625
1167,98.29617897436918,24.700925406995623,20.563629029674416,,,3999,4.882783882783882,582.5054945054944,1634,1.9951159951159951,151.52106227106228,2.5992994966570717,2.638393683537858,35.15625
1200,98.66624609652462,24.899855466363086,20.563629029674416,,,4023,4.9120879120879115,586.8791208791207,1611,1.967032967032967,147.3296703296703,2.5893318405237684,2.638393683537858,36.2109375
1233,97.03351073208202,24.62795583435685,20.563629029674416,,,4042,4.9352869352869355,590.3415750915751,1609,1.9645909645909645,146.96520146520146,2.589037487852525,2.6103967486909574,36.38671875
1267,96.86820501626612,24.726728416267484,20.563629029674416,,,4036,4.927960927960928,589.2481684981685,1617,1.9743589743589742,148.4230769230769,2.589037487852525,2.6179545148983596,36.298828125
1300,96.52662971701149,25.237717443223023,20.563629029674416,,,4029,4.919413919413919,587.9725274725274,1607,1.962148962148962,146.60073260073258,2.586189524318399,2.616666260707196,36.38671875
1334,96.98297357551452,24.608047828400796,20.563629029674416,,,4039,4.931623931623932,589.7948717948718,1619,1.9768009768009767,148.78754578754578,2.5888590866653405,2.618325438767233,36.298828125
1367,97.12552027986756,24.55146090620061,20.563629029674416,,,4041,4.934065934065934,590.1593406593407,1614,1.9706959706959706,147.8763736263736,2.5876546882411495,2.618325438767233,36.298828125
1400,96.21705104316126,25.48655731720537,20.563629029674416,,,4022,4.91086691086691,586.6968864468863,1623,1.9816849816849815,149.5164835164835,2.5876546882411495,2.617467994990984,36.298828125
1434,96.46520324635117,25.11698438975615,20.563629029674416,,,4027,4.916971916971916,587.6080586080585,1623,1.9816849816849815,149.5164835164835,2.5883595481058075,2.617196772572677,36.2109375
1467,96.70402705716499,24.96526678596756,20.563629029674416,,,4031,4.921855921855921,588.3369963369962,1625,1.984126984126984,149.88095238095235,2.588443125029467,2.6173585214953774,36.2109375
1500,96.74136454798358,24.903472786037174,20.563629029674416,,,4035,4.926739926739927,589.0659340659341,1639,2.001221001221001,152.43223443223442,2.588046241503938,2.6173585214953774,36.2109375
1533,95.79469392813442,25.909295880339595,20.563629029674416,,,4011,4.897435897435897,584.6923076923076,1627,1.9865689865689864,150.24542124542123,2.588046241503938,2.6166253701810573,36.2109375
1567,95.45758494492827,26.191431036122708,20.563629029674416,,,4002,4.886446886446886,583.0521978021977,1620,1.9780219780219779,148.96978021978018,2.587695184747576,2.6157607024547747,36.123046875
1600,93.56093736763661,27.888826141500555,20.410264125374603,,,3968,4.844932844932845,576.856227106227,1623,1.9816849816849815,149.5164835164835,2.5849114951910823,2.6081552575098885,35.947265625
1633,66.70111585054484,58.393459770189196,0.097527252852835,,,3914,4.778998778998779,567.0155677655678,1657,2.023199023199023,155.7124542124542,2.5798165928575605,2.6081552575098885,35.595703125
1667,62.10450942768262,60.616720760863494,0.097527252852835,,,3816,4.65934065934066,549.1565934065934,1835,2.2405372405372406,188.15018315018315,2.5798165928575605,2.601908010349046,34.365234375
1700,62.424591501360425,59.129049623505026,0.097527252852835,,,3756,4.586080586080586,538.2225274725274,1915,2.3382173382173383,202.72893772893775,2.6326141479448637,2.640652819835477,30.849609375
1733,65.1463513182186,57.675590545486735,0.097527252852835,,,3654,4.461538461538462,519.6346153846155,2026,2.473748473748474,222.95695970695974,2.634019913936259,2.6990039654761833,28.828125
1767,65.69505188016909,54.67954109011492,0.097527252852835,,,3561,4.3479853479853485,502.6868131868132,2111,2.5775335775335773,238.4468864468864,2.704051220903599,2.6990039654761833,26.806640625
1800,66.7472255644204,54.60308077517022,0.097527252852835,,,3480,4.249084249084249,487.9258241758241,2185,2.6678876678876677,251.9322344322344,2.7160310900293863,2.7134058810729553,23.37890625
1833,67.88637499160409,51.04867100913284,0.097527252852835,,,3417,4.172161172161172,476.44505494505495,2273,2.7753357753357752,267.9688644688644,2.7160310900293863,2.772410302514113,20.654296875
1867,68.99657365838611,50.08854466225374,0.097527252852835,,,3312,4.043956043956044,457.31043956043953,2356,2.8766788766788762,283.0943223443222,2.746250970369474,2.773974320684512,18.28125
1900,70.96576453905337,48.25482576519004,0.097527252852835,,,3259,3.979242979242979,447.6520146520146,2382,2.9084249084249088,287.83241758241763,2.763351870183888,2.773974320684512,15.732421875
1934,71.48566373158614,48.33825934808233,0.097527252852835,,,3205,3.913308913308913,437.81135531135527,2384,2.910866910866911,288.1968864468865,2.756726763954864,2.7921830220513018,13.974609375
1967,71.74062425859489,48.16484290384583,0.097527252852835,,,3190,3.894993894993895,435.0778388278388,2391,2.9194139194139197,289.4725274725275,2.756726763954864,2.7906438596553946,14.0625
2000,71.26439804991686,48.66740308194872,0.097527252852835,,,3177,3.879120879120879,432.7087912087912,2378,2.903540903540904,287.1034798534799,2.756408860165587,2.7850909803442914,14.23828125
2034,71.24951168939668,48.59604328004735,0.097527252852835,,,3177,3.879120879120879,432.7087912087912,2402,2.932844932844933,291.4771062271063,2.7573713028115527,2.7850909803442914,14.0625
2067,71.35631825960809,48.499814913751685,0.097527252852835,,,3174,3.8754578754578755,432.1620879120879,2396,2.925518925518926,290.3836996336996,2.7583909734295275,2.786443904541521,13.88671875
2100,71.04917048269547,48.800227379853844,0.097527252852835,,,3157,3.8547008547008548,429.06410256410254,2387,2.914529914529915,288.7435897435898,2.7583909734295275,2.7856129588168708,13.623046875
2133,70.63508893423631,49.11488502942461,0.097527252852835,,,3143,3.8376068376068377,426.5128205128205,2408,2.9401709401709404,292.5705128205128,2.7576068128557827,2.786351506141833,13.53515625
2167,70.53917239333609,49.2049711694664,0.097527252852835,,,3134,3.8266178266178263,424.8727106227106,2409,2.9413919413919416,292.75274725274727,2.759031107533364,2.786351506141833,13.359375
2200,70.92237105841926,48.91828416504113,0.13137880221335324,,,3143,3.8376068376068377,426.5128205128205,2428,2.9645909645909647,296.21520146520146,2.7584255695770876,2.7860109058520734,12.83203125
2233,76.3212231131797,43.69363799726145,15.258022995524836,,,3132,3.824175824175824,424.5082417582417,2424,2.95970695970696,295.48626373626377,2.7584255695770876,2.7862937594758614,12.65625
2267,76.57162240695457,43.27215087413454,15.258022995524836,,,3131,3.8229548229548227,424.3260073260073,2384,2.910866910866911,288.1968864468865,2.7590792785717992,2.7863829906967417,12.65625
2300,80.17165756755753,39.397357178489166,15.258022995524836,,,3227,3.94017094017094,441.82051282051276,2309,2.819291819291819,274.529304029304,2.7402390835815194,2.7908030790126306,13.7109375
2333,83.11299738910456,41.22130270095323,15.258022995524836,,,3263,3.9841269841269837,448.38095238095235,2262,2.761904761904762,265.9642857142857,2.736140506397576,2.7908030790126306,16.875
2367,82.60190811283185,40.058876199179785,15.258022995524836,,,3313,4.045177045177045,457.492673992674,2200,2.686202686202686,254.6657509157509,2.736140506397576,2.761744992829981,18.896484375
2400,84.60787315153586,37.44286197859059,15.258022995524836,,,3394,4.1440781440781445,472.25366300366306,2156,2.6324786324786325,246.64743589743588,2.7225316482787107,2.767485610051312,19.86328125
2433,86.02350373720233,37.93815516215411,15.258022995524836,,,3425,4.181929181929182,477.9029304029304,2108,2.5738705738705736,237.9001831501831,2.706412947557315,2.758155518741965,21.97265625
2467,88.20184702608141,36.91705751298108,15.258022995524836,,,3491,4.2625152625152625,489.9304029304029,2061,2.5164835164835164,229.33516483516482,2.6955360733390914,2.758155518741965,23.90625
2500,88.56545876436485,35.935716170083445,15.258022995524836,,,3537,4.318681318681319,498.31318681318686,2016,2.4615384615384617,221.13461538461542,2.6955360733390914,2.742026458135121,25.224609375
2533,88.6481875101682,35.685542239609546,15.258022995524836,,,3579,4.36996336996337,505.96703296703305,1995,2.4358974358974357,217.30769230769226,2.6860556971558336,2.7361491279126797,26.455078125
2567,88.75139570910926,35.23644193019572,15.258022995524836,,,3626,4.427350427350428,514.5320512820513,1969,2.404151404151404,212.56959706959705,2.6750639415291686,2.727563553985673,27.685546875
2600,90.67818738339008,32.281381584881444,15.258022995524836,,,3700,4.517704517704518,528.0173992673992,1958,2.3907203907203907,210.5650183150183,2.676113198419035,2.727563553985673,28.30078125
2634,91.58996267567349,31.300287156276475,15.258022995524836,,,3729,4.553113553113553,533.3021978021978,1916,2.3394383394383396,202.91117216117217,2.676113198419035,2.7285789989479468,28.828125
2667,92.95535964043204,31.336072082406012,15.258022995524836,,,3777,4.611721611721612,542.0494505494506,1871,2.2844932844932844,194.7106227106227,2.6678165792742794,2.729668646076527,30.41015625
2700,90.79599093818365,32.7851035391881,15.258022995524836,,,3820,4.6642246642246645,549.8855311355312,1837,2.242979242979243,188.514652014652,2.654437647288453,2.683553369846873,32.34375
2733,90.99976647806739,33.3096792990703,15.258022995524836,,,3836,4.683760683760684,552.8012820512821,1835,2.2405372405372406,188.15018315018315,2.6462746393877423,2.683553369846873,32.783203125
2767,91.56551755453393,32.78252853855644,15.258022995524836,,,3843,4.6923076923076925,554.0769230769231,1834,2.2393162393162394,187.96794871794873,2.642584873381166,2.6852646063577374,32.607421875
2800,90.28909695600716,33.90007296609651,15.258022995524836,,,3817,4.660561660561661,549.3388278388278,1841,2.247863247863248,189.24358974358972,2.642584873381166,2.687480212116525,32.607421875
2833,90.86620797371752,33.241260441668615,15.258022995524836,,,3834,4.681318681318682,552.4368131868133,1877,2.2918192918192917,195.80402930402926,2.642323179425352,2.6871909929210873,32.51953125
2867,91.64023584597419,32.24069953597205,15.213702917562658,,,3821,4.665445665445666,550.0677655677656,1881,2.2967032967032965,196.53296703296698,2.6620188945023235,2.6871909929210873,31.728515625
2900,90.77143114164862,33.453975455139386,13.286752348169404,,,3820,4.6642246642246645,549.8855311355312,1888,2.3052503052503055,197.8086080586081,2.659752357151293,2.705337497122703,31.46484375
2933,90.04631847435638,34.15814692627116,13.286752348169404,,,3811,4.653235653235654,548.2454212454213,1884,2.3003663003663,197.0796703296703,2.659752357151293,2.7075482938430624,31.81640625
2967,90.72533153054474,33.38152970214946,13.286752348169404,,,3814,4.656898656898657,548.7921245421246,1907,2.3284493284493286,201.27106227106228,2.66958325837855,2.7061291468526485,31.46484375
