ms,valve_a_pct,valve_b_pct,q_des,qdes_esn,pid_u,tension_0x2B,tension_0x2A
1,50.62635722737129,49.37364277262871,12.362313699744082,,1.2527144547425695,2.7820341642114967,2.7470524391230846,-0.0
33,50.634598769755364,49.365401230244636,12.362313699744082,,1.2691975395107309,2.7823304628096346,2.7470524391230846,-0.0
67,50.64284031213945,49.35715968786055,12.362313699744082,,1.2856806242788918,2.7218436838521662,2.7333658812970136,-0.0
100,50.651081854523525,49.348918145476475,12.362313699744082,,1.3021637090470535,2.7218436838521662,2.7196835554781145,-0.0
133,50.65932339690761,49.34067660309239,12.362313699744082,,1.3186467938152147,2.643231019161672,2.6404692032541113,-0.0
167,50.66756493929169,49.33243506070831,12.362313699744082,,1.3351298785833756,2.595775365185245,2.6404692032541113,-0.0
200,50.67580648167577,49.32419351832423,12.362313699744082,,1.3516129633515375,2.5841542042968175,2.6047247846533543,-0.0
233,50.68404802405985,49.31595197594015,12.362313699744082,,1.3680960481196984,2.5841542042968175,2.601260544543151,-0.0
267,50.69228956644393,49.30771043355607,12.362313699744082,,1.3845791328878598,2.5826488091819835,2.601341892709659,-0.0
300,50.70053110882801,49.29946889117199,12.362313699744082,,1.401062217656021,2.582791410761657,2.601341892709659,-0.0
333,50.708772651212094,49.291227348787906,12.362313699744082,,1.417545302424182,2.5829341653595597,2.6016167921155087,-0.0
367,50.71701419359617,49.28298580640383,12.362313699744082,,1.4340283871923436,2.5831790361162263,2.6012738168782343,-0.0
400,50.725255735980255,49.274744264019745,12.362313699744082,,1.4505114719605046,2.5831790361162263,2.6016958730154203,-0.0
433,50.73349727836433,49.26650272163567,12.362313699744082,,1.4669945567286662,2.5833838279015313,2.6016958730154203,-0.0
467,50.74173882074842,49.25826117925158,12.362313699744082,,1.4834776414968274,2.5834403264728945,2.601769104573114,-0.0
500,50.749980363132494,49.250019636867506,12.362313699744082,,1.4999607262649886,2.5835023357883014,2.60167660206675,-0.0
534,50.75822190551658,49.24177809448342,12.362313699744082,,1.51644381103315,2.5835023357883014,2.6013905607177947,-0.0
567,50.766463447900655,49.233536552099345,12.362313699744082,,1.5329268958013116,2.584156889137528,2.601453360165788,-0.0
600,50.77470499028474,49.22529500971526,12.362313699744082,,1.549409980569472,2.5835749417876364,2.601453360165788,-0.0
633,50.79049194078657,49.20950805921343,12.362313699744082,,1.580983881573143,2.5837284980190636,2.601529578914191,-0.0
667,51.401534387197515,48.598465612802485,12.684201577197392,,2.8030687743950367,2.5837284980190636,2.6013337577212905,-0.0
700,51.80778867008918,48.19221132991082,20.563629029674416,,3.6155773401783673,2.5840759218335676,2.601548848229353,-0.0
733,51.228886605230954,48.771113394769046,20.563629029674416,,2.457773210461909,2.5781888080972437,2.601548848229353,-0.0
767,51.24259569111365,48.75740430888635,20.563629029674416,,2.485191382227293,2.573467329263395,2.5937395200268862,-0.0
800,51.25630477699634,48.74369522300366,20.563629029674416,,2.512609553992677,2.573467329263395,2.5853831681027706,-0.0
834,51.27001386287903,48.72998613712097,20.563629029674416,,2.540027725758062,2.5729639557288118,2.5911381697574893,-0.0
867,51.28372294876172,48.71627705123828,20.563629029674416,,2.5674458975234455,2.574064548478794,2.5911381697574893,-0.0
900,51.297432034644416,48.702567965355584,20.563629029674416,,2.5948640692888305,2.574560094800611,2.588656618699783,-0.0
933,51.311141120527104,48.688858879472896,20.563629029674416,,2.622282241054214,2.574560094800611,2.590413170540907,-0.0
967,51.3248502064098,48.6751497935902,20.563629029674416,,2.6497004128195987,2.5763909362734925,2.5900481618971742,-0.0
1000,51.338559292292494,48.661440707707506,20.563629029674416,,2.6771185845849823,2.575747346357024,2.5900481618971742,-0.0
1034,51.35226837817518,48.64773162182482,20.563629029674416,,2.704536756350367,2.5768175037231686,2.5911462569666748,-0.0
1067,51.36597746405788,48.63402253594212,20.563629029674416,,2.731954928115751,2.5768175037231686,2.5907863418738866,-0.0
1100,51.379686549940565,48.620313450059435,20.563629029674416,,2.759373099881135,2.5775149839350378,2.593244250431785,-0.0
1133,51.39339563582326,48.60660436417674,20.563629029674416,,2.7867912716465195,2.5800531260065167,2.593244250431785,-0.0
1167,51.40710472170595,48.59289527829405,20.563629029674416,,2.814209443411904,2.5827213792031416,2.5965320776362084,-0.0
1200,51.420813807588644,48.579186192411356,20.563629029674416,,2.8416276151772877,2.5827213792031416,2.5986337670604773,-0.0
1233,51.43452289347134,48.56547710652866,20.563629029674416,,2.8690457869426718,2.585447792821222,2.60023502873126,-0.0
1267,51.44823197935403,48.55176802064597,20.563629029674416,,2.8964639587080567,2.585973648094499,2.60023502873126,-0.0
1300,51.46194106523672,48.53805893476328,20.563629029674416,,2.92388213047344,2.5868206150504545,2.6011814834905618,-0.0
1333,51.47565015111941,48.52434984888059,20.563629029674416,,2.9513003022388244,2.5868206150504545,2.6013284771352314,-0.0
1367,51.489359237002105,48.510640762997895,20.563629029674416,,2.978718474004209,2.5874280103174367,2.6022562516257026,-0.0
1401,51.50306832288479,48.49693167711521,20.563629029674416,,3.006136645769593,2.5878382044924075,2.6022562516257026,-0.0
1433,51.51677740876749,48.48322259123251,20.563629029674416,,3.033554817534977,2.5880082859782005,2.602975229011755,-0.0
1467,51.530486494650184,48.469513505349816,20.563629029674416,,3.0609729893003617,2.588462107471134,2.602885661949003,-0.0
1500,51.54419558053287,48.45580441946713,20.563629029674416,,3.088391161065745,2.588462107471134,2.6034382801640596,-0.0
1533,51.55790466641557,48.44209533358443,20.563629029674416,,3.1158093328311294,2.588610574367149,2.6034382801640596,-0.0
1567,51.53671266179389,48.46328733820611,20.563629029674416,,3.073425323587779,2.587697875108602,2.6029396587635603,-0.0
1600,50.009259887347945,49.990740112652055,20.513978886940265,,0.018519774695894498,2.58719046229958,2.6020196569699445,-0.0
1634,49.03827091400026,50.96172908599974,0.097527252852835,,-1.9234581719994883,2.58719046229958,2.6015598389716574,-0.0
1667,50.56211468558088,49.43788531441912,0.097527252852835,,1.1242293711617628,2.5874604315053493,2.6018835975313412,-0.0
1700,50.5621797037488,49.4378202962512,0.097527252852835,,1.1243594074975996,2.586693812362579,2.6018835975313412,-0.0
1734,50.56224472191672,49.43775527808328,0.097527252852835,,1.1244894438334363,2.583739234753359,2.599614706427282,-0.0
1767,50.562309740084636,49.437690259915364,0.097527252852835,,1.124619480169273,2.583739234753359,2.598990187766927,-0.0
