ms,valve_a_pct,valve_b_pct,q_des,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
0,20.0,20.0,0.0,,2797,3.4151404151404154,363.459706959707,1653,2.0183150183150182,154.98351648351647,2.5966735532596354,2.598087806055878,-0.013877467105263164
56,20.0,20.0,0.12027571200156428,,2672,3.2625152625152625,340.6804029304029,1474,1.7997557997557998,122.36355311355311,2.5703321116727658,2.552175416311177,-0.013877467105263164
68,20.0,20.0,0.19899206917608958,,2632,3.213675213675214,333.39102564102564,1377,1.6813186813186816,104.68681318681323,2.5703321116727658,2.552175416311177,0.07401315789473684
117,20.0,20.0,0.7070363520005096,,2465,3.0097680097680097,302.95787545787545,1340,1.636141636141636,97.9441391941392,2.4641979147253386,2.3924681498956537,0.07401315789473684
143,20.0,20.0,0.9323213973335999,,2408,2.9401709401709404,292.5705128205128,1273,1.5543345543345544,85.73443223443223,2.311045386254506,2.2887290837017775,0.07401315789473684
180,20.0,20.0,1.1621168058828277,,2338,2.8547008547008543,279.8141025641025,1254,1.5311355311355312,82.27197802197804,2.2159729431085013,2.2883338588634334,0.07401315789473684
212,20.0,20.0,1.3810713280009028,,2270,2.7716727716727716,267.42216117216117,1213,1.4810744810744811,74.8003663003663,2.21713758626528,2.2883338588634334,-0.013877467105263164
245,20.0,20.0,1.527224386667988,,2189,2.6727716727716726,252.66117216117212,1174,1.4334554334554332,67.69322344322342,2.21713758626528,2.2905230135612356,-0.10176809210526316
279,20.0,20.0,1.6161088905886916,,2134,2.6056166056166057,242.6382783882784,1143,1.3956043956043955,62.04395604395603,2.2170309060592266,2.2890691579193927,-0.36543996710526316
311,20.0,20.0,1.67,,2064,2.52014652014652,229.88186813186812,1104,1.3479853479853479,54.93681318681317,2.216237334781588,2.2892648497945096,-0.5412212171052632
343,20.0,20.0,1.6974334560007556,,2016,2.4615384615384617,221.13461538461542,1067,1.3028083028083028,48.194139194139204,2.216237334781588,2.2892648497945096,-0.8048930921052632
378,20.0,20.0,1.821820214121123,,1970,2.4053724053724053,212.75183150183148,1047,1.2783882783882783,44.54945054945054,2.2163771807471053,2.2912161890308083,-1.2443462171052633
414,20.0,20.0,2.0478837419761495,,1920,2.3443223443223444,203.6401098901099,1018,1.242979242979243,39.26465201465202,2.2170115921503943,2.2896263743465433,-1.9474712171052633
444,20.0,20.0,2.2576918986692327,,1884,2.3003663003663,197.0796703296703,989,1.2075702075702075,33.97985347985347,2.216168090114155,2.289343557756592,-2.5627055921052633
482,20.0,20.0,2.5819038311840172,,1838,2.244200244200244,188.69688644688645,974,1.1892551892551892,31.246336996336996,2.2165447664199203,2.2898723495423656,-3.6173930921052633
512,20.0,20.0,3.0047267360006225,,1801,2.199023199023199,181.95421245421247,943,1.1514041514041513,25.59706959706958,2.2165447664199203,2.2898723495423656,-4.408408717105263
548,20.0,20.0,3.5844528625771312,,1762,2.1514041514041518,174.84706959706963,926,1.1306471306471306,22.499084249084245,2.217758393213957,2.288962427472524,-5.550986842105263
