ms,valve_a_pct,valve_b_pct,q_des,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
0,61.06592526933595,60.32122069133018,0.088,,2786,3.401709401709402,361.4551282051283,2769,3.3809523809523814,358.35714285714295,2.608972434932529,2.563040894416483,-0.0
59,60.97537692417811,60.31163447648683,0.088,,2830,3.4554334554334556,369.4734432234432,2810,3.4310134310134313,365.82875457875457,2.61052515482884,2.56628807297897,-0.087890625
68,61.23888129851534,60.11347588665026,0.088,,2819,3.442002442002442,367.4688644688645,2790,3.406593406593407,362.184065934066,2.61052515482884,2.56628807297897,-0.087890625
122,61.23306962515247,59.555134563676425,0.088,,2832,3.457875457875458,369.8379120879121,2790,3.406593406593407,362.184065934066,2.6271407918020473,2.588553906105711,-0.0
133,61.14616017875033,59.62823323606747,0.088,,2836,3.462759462759463,370.56684981684987,2799,3.417582417582418,363.8241758241759,2.629362282229693,2.588553906105711,-0.0
190,61.144818588223806,59.61740730003121,0.088,,2837,3.463980463980464,370.74908424908426,2794,3.411477411477412,362.91300366300374,2.6291222713909783,2.5909053594958964,0.087890625
202,61.072341987361845,59.675760620796694,0.08195627466146836,,2835,3.4615384615384617,370.38461538461536,2796,3.4139194139194142,363.2774725274726,2.6291222713909783,2.5886860877173907,0.087890625
254,60.9582242531722,59.69058555534291,0.0,,2835,3.4615384615384617,370.38461538461536,2786,3.401709401709402,361.4551282051283,2.62886416952306,2.5894939897705322,0.087890625
271,60.701219680145066,59.8593243986812,-0.027162147305577065,,2825,3.4493284493284495,368.56227106227107,2784,3.3992673992673996,361.0906593406594,2.6291518540328007,2.5894939897705322,0.087890625
319,60.26077865932278,60.15515963451714,-0.37915276917330754,,2827,3.451770451770452,368.92673992673997,2778,3.3919413919413923,359.9972527472528,2.628660469887473,2.589731855120694,0.087890625
339,59.93905305168086,60.4972767308659,-0.6381707146583744,,2827,3.451770451770452,368.92673992673997,2782,3.396825396825397,360.72619047619054,2.628660469887473,2.5890617200954402,0.087890625
387,58.988655214309624,61.437687393844065,-1.689439413932869,,2835,3.4615384615384617,370.38461538461536,2799,3.417582417582418,363.8241758241759,2.62860117672032,2.590361832106428,0.087890625
406,58.10639947472921,62.20955113416649,-2.238097108417422,,2831,3.456654456654457,369.65567765567766,2793,3.4102564102564106,362.7307692307692,2.6286406086275895,2.590361832106428,0.087890625
454,53.970154773730464,66.04072174154737,-4.212407940095883,,2767,3.378510378510379,357.99267399267404,2805,3.424908424908425,364.9175824175824,2.628482886321983,2.590248524223158,0.087890625
472,51.89396153069657,68.19722396259947,-5.0218113549637815,,2723,3.3247863247863245,349.9743589743589,2847,3.4761904761904763,372.57142857142856,2.628482886321983,2.573520834548573,-0.0
518,48.754261985762824,70.88685328903487,-7.278389811480445,,2640,3.2234432234432235,334.8489010989011,2927,3.573870573870574,387.1501831501832,2.6281509620393657,2.5703295885232005,-1.40625
543,47.57417898548603,72.59842919977729,-8.38372642668363,,2589,3.161172161172161,325.55494505494505,2981,3.6398046398046398,396.9908424908425,2.6156511921511423,2.5703295885232005,-2.021484375
583,45.61630526154188,74.76505481998112,-9.710153235356069,,2505,3.058608058608059,310.2472527472528,3042,3.7142857142857144,408.10714285714283,2.608688056048935,2.5694289213873867,-2.900390625
611,44.7277464714427,76.1625791751674,-10.344973173325029,,2447,2.987789987789988,299.6776556776557,3086,3.768009768009768,416.12545787545787,2.608688056048935,2.5388238255434934,-3.69140625
650,42.867804994015806,77.5353874093874,-10.724601541334764,,2376,2.9010989010989015,286.73901098901104,3149,3.844932844932845,427.6062271062271,2.5986662565944703,2.5226742909404543,-4.921875
678,42.16915613122838,78.36841121015216,-10.811,,2328,2.842490842490842,277.9917582417582,3209,3.918192918192918,438.540293040293,2.582578783423242,2.5226742909404543,-5.625
715,39.72160874397372,79.67533604522723,-10.811,,2262,2.761904761904762,265.9642857142857,3258,3.9780219780219777,447.46978021978015,2.5639352718382686,2.4754635979069053,-6.591796875
746,38.46313024032052,80.42709361499385,-10.811,,2211,2.6996336996336994,256.6703296703296,3313,4.045177045177045,457.492673992674,2.5415286945943794,2.4397793277497435,-7.470703125
775,37.16733661440421,81.04648180338445,-10.835194357119668,,2144,2.617826617826618,244.46062271062272,3342,4.08058608058608,462.77747252747247,2.5415286945943794,2.3862866143390145,-7.998046875
818,35.5203646711656,83.10034636989074,-10.995036719997413,,2085,2.5457875457875456,233.70879120879118,3418,4.173382173382174,476.6272893772894,2.5156178915364533,2.3509192764961218,-9.052734375
841,34.32889233543604,84.20629382318194,-11.159075594665172,,2049,2.501831501831502,227.14835164835165,3456,4.21978021978022,483.55219780219784,2.4753137624307615,2.3509192764961218,-9.404296875
886,32.977919178176116,85.87641496494423,-11.581761340025112,,1985,2.4236874236874235,215.48534798534797,3528,4.307692307692308,496.673076923077,2.4427823038249166,2.3496780463422096,-10.458984375
907,33.0288356594661,86.16857602017024,-11.745799255992518,,1943,2.3724053724053724,207.8315018315018,3543,4.326007326007327,499.4065934065935,2.4427823038249166,2.3496780463422096,-10.8984375
955,31.27237741601781,88.31177223468404,-12.010941600003667,,1881,2.2967032967032965,196.53296703296698,3618,4.417582417582418,513.0741758241758,2.4027434695247303,2.3492595811555703,-11.865234375
972,30.48207175527705,89.07504112493612,-12.041,,1857,2.2673992673992673,192.15934065934064,3638,4.442002442002442,516.7188644688645,2.3610988507360813,2.3492595811555703,-12.12890625
1022,29.65266552558905,90.54312710182094,-12.041,,1800,2.197802197802198,181.77197802197804,3686,4.500610500610501,525.4661172161173,2.339594073776297,2.3494430746664476,-13.0078125
1039,30.07196279510668,90.89476449811679,-12.041,,1787,2.181929181929182,179.40293040293042,3716,4.537240537240537,530.9331501831501,2.339594073776297,2.3501993241366357,-13.095703125
1088,29.885375723038937,92.14153298683343,-12.041,,1790,2.185592185592186,179.94963369963375,3803,4.643467643467644,546.7875457875458,2.307597239725564,2.3502140312444655,-13.798828125
1104,29.494325425767293,92.97197856784523,-12.01753596266949,,1795,2.191697191697192,180.8608058608059,3830,4.676434676434677,551.7078754578755,2.2726527143933097,2.3502140312444655,-13.798828125
1154,32.63319502230628,90.35507046751832,-11.522984010706875,,1780,2.1733821733821737,178.12728937728943,3869,4.724053724053724,558.8150183150184,2.355392759570995,2.349597309137753,-13.798828125
1171,33.28563408471373,89.77207354011058,-11.180131568619654,,1794,2.1904761904761907,180.67857142857147,3882,4.73992673992674,561.1840659340659,2.355392759570995,2.3508824924345864,-13.88671875
1221,35.43182856839478,87.86981175046333,-9.394843561785692,,1810,2.21001221001221,183.59432234432236,3868,4.722832722832723,558.6327838827839,2.360825269598438,2.349421147408379,-13.88671875
1239,36.735340162968185,86.45265141412558,-8.495642773316396,,1838,2.244200244200244,188.69688644688645,3820,4.6642246642246645,549.8855311355312,2.358512652536595,2.349421147408379,-13.7109375
1288,39.66509552944114,80.75832952277167,-5.683989190033836,,1953,2.3846153846153846,209.65384615384613,3672,4.483516483516484,522.9148351648352,2.361128593364614,2.349883644842114,-12.744140625
1306,41.471217657710966,78.71526920450528,-4.742699162096041,,1989,2.4285714285714284,216.2142857142857,3599,4.394383394383395,509.61172161172163,2.361128593364614,2.3485111307710387,-12.041015625
1355,47.91041193207604,71.1418965812529,-2.683318166128722,,2115,2.5824175824175826,239.1758241758242,3442,4.202686202686203,481.00091575091574,2.48650352739344,2.3894748953549665,-10.8984375
1372,49.349010600560355,69.98196830857076,-1.8875910445887096,,2174,2.6544566544566544,249.92765567765565,3403,4.155067155067155,473.89377289377296,2.460668176989081,2.3894748953549665,-10.546875
1421,55.068232587918786,61.47880862053546,0.3074713709156195,,2289,2.7948717948717947,270.88461538461536,3258,3.9780219780219777,447.46978021978015,2.5438108283580654,2.4082940546711185,-7.91015625
1440,54.787255759751986,62.73598439443153,1.023458768070661,,2333,2.8485958485958482,278.90293040293034,3206,3.9145299145299144,437.9935897435897,2.5438108283580654,2.4449791334844186,-7.55859375
1487,59.27090437179733,59.912972982872134,2.5933846320028247,,2464,3.0085470085470085,302.77564102564105,3082,3.763125763125763,415.3965201465201,2.5618543262957427,2.511244223708216,-6.064453125
1507,60.18018675468111,59.27344838817874,3.185147330193041,,2491,3.0415140415140414,307.69597069597063,3023,3.6910866910866913,404.64468864468864,2.5748709555903426,2.511244223708216,-5.2734375
1553,64.02200672574492,55.06682863375046,4.381790149649291,,2594,3.167277167277167,326.4661172161172,2898,3.5384615384615388,381.86538461538464,2.595731833691432,2.5133912037357,-3.603515625
1572,63.37504554133593,56.76082678082119,4.7203579698890605,,2622,3.201465201465201,331.5686813186813,2849,3.4786324786324787,372.93589743589746,2.595731833691432,2.5488125395456946,-3.1640625
