ms,valve_a_pct,valve_b_pct,q_des,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
0,100.0,20.0,0.0,,2806,3.4261294261294264,365.0998168498169,1623,1.9816849816849815,149.5164835164835,2.5940103728670247,2.594923854700143,-0.0
61,100.0,20.0,0.14740645866740182,,2900,3.540903540903541,382.2298534798535,1549,1.8913308913308913,136.03113553113553,2.5946581190519997,2.622735723045943,0.17578125
68,100.0,20.0,0.19504169838150137,,2917,3.561660561660562,385.32783882783883,1475,1.800976800976801,122.54578754578755,2.5747368794303487,2.622735723045943,0.3515625
127,100.0,20.0,0.8197680426694375,,3022,3.68986568986569,404.46245421245425,1560,1.9047619047619047,138.03571428571425,2.5877087781936075,2.538382444657257,2.900390625
134,100.0,20.0,0.8869758560012948,,3037,3.7081807081807083,407.1959706959707,1511,1.844932844932845,129.10622710622712,2.5877087781936075,2.538382444657257,2.98828125
195,100.0,20.0,1.2759904762644299,,3128,3.819291819291819,423.77930402930394,1581,1.9304029304029304,141.86263736263734,2.5319117362848322,2.507293533942257,5.537109375
201,100.0,20.0,1.3221407786668666,,3151,3.8473748473748475,427.970695970696,1555,1.8986568986568986,137.1245421245421,2.5428032323822016,2.507293533942257,5.625
261,100.0,21.70233101869033,1.5689839413333684,,3246,3.963369963369963,445.282967032967,1607,1.962148962148962,146.60073260073258,2.481014696075881,2.4853866313740554,6.591796875
268,100.0,21.62582688800947,1.5861821663529254,,3251,3.969474969474969,446.19413919413915,1592,1.9438339438339438,143.86721611721612,2.481014696075881,2.4853866313740554,6.50390625
328,98.09122854343201,24.99829473651915,1.67,,3346,4.085470085470085,463.5064102564102,1638,2.0,152.25,2.459184233260803,2.383493948251777,9.31640625
334,97.14220202364967,25.311047435257304,1.6728992133340992,,3347,4.086691086691086,463.6886446886446,1637,1.9987789987789988,152.06776556776558,2.420162315827553,2.383493948251777,9.31640625
395,92.21416756295392,28.606234121080686,1.906114109646945,,3431,4.1892551892551895,478.99633699633705,1661,2.028083028083028,156.4413919413919,2.339200205148949,2.3858890450535486,10.72265625
401,91.82556655642864,28.73100154486945,1.941564995759623,,3433,4.191697191697192,479.3608058608059,1668,2.0366300366300365,157.71703296703294,2.339200205148949,2.3858890450535486,10.72265625
461,90.67751938368245,31.408244533867947,2.348952026666511,,3516,4.293040293040293,494.4862637362637,1694,2.068376068376068,162.45512820512818,2.252024484257986,2.288531458484879,12.48046875
467,88.08686181044581,32.279634023632624,2.3887527661191172,,3545,4.328449328449329,499.7710622710623,1713,2.0915750915750917,165.91758241758242,2.252024484257986,2.288531458484879,12.48046875
528,89.42847273503428,33.78726924108769,3.263858095999341,,3606,4.402930402930403,510.8873626373627,1747,2.133089133089133,172.1135531135531,2.2163399171256635,2.2890957827924123,14.4140625
534,86.57013385198678,34.5422475457546,3.356880416848589,,3604,4.400488400488401,510.52289377289384,1758,2.1465201465201464,174.11813186813185,2.2163399171256635,2.2890957827924123,14.4140625
595,86.87520449707564,33.122743460689904,4.317582683297771,,3642,4.446886446886447,517.4478021978022,1772,2.163614163614164,176.66941391941396,2.2689137368512093,2.286846442359354,13.359375
600,87.00365422684415,33.227970387244646,4.395775962277037,,3644,4.4493284493284495,517.8122710622712,1778,2.170940170940171,177.76282051282055,2.2689137368512093,2.286846442359354,13.271484375
662,87.30032417715343,32.66091475027993,5.478668797394054,,3669,4.47985347985348,522.368131868132,1784,2.1782661782661785,178.85622710622715,2.312004981620637,2.288024557331697,13.271484375
667,87.31328510856659,32.69075778991933,5.546924101647565,,3684,4.498168498168498,525.1016483516484,1795,2.191697191697192,180.8608058608059,2.312004981620637,2.288024557331697,13.271484375
729,87.23551564667623,32.51398159005431,6.194422299001715,,3675,4.487179487179487,523.4615384615385,1791,2.186813186813187,180.13186813186815,2.3238883736227147,2.2876224531560143,13.798828125
734,87.3723125338817,32.546761988715176,6.2559381653326955,,3706,4.525030525030525,529.1108058608058,1806,2.2051282051282053,182.8653846153846,2.3238883736227147,2.2876224531560143,13.7109375
794,87.2721332106538,32.66169579935809,6.80726800623486,,3690,4.5054945054945055,526.195054945055,1799,2.1965811965811968,181.58974358974362,2.3152330379965247,2.3098644951330147,13.447265625
802,87.36638377822803,32.545663943800925,6.8694510719997925,,3689,4.504273504273504,526.0128205128206,1799,2.1965811965811968,181.58974358974362,2.3152330379965247,2.2899653519278385,13.53515625
861,87.36155866533137,32.5570139531277,7.266760325332599,,3696,4.512820512820513,527.2884615384615,1803,2.2014652014652016,182.31868131868134,2.324177736328553,2.311475438702778,13.447265625
869,87.36785227540686,32.5653061239388,7.311667898824947,,3686,4.500610500610501,525.4661172161173,1797,2.1941391941391943,181.22527472527474,2.324177736328553,2.311475438702778,13.447265625
926,87.40316030435912,32.53476108821533,7.5403838640002165,,3691,4.506715506715507,526.3772893772893,1802,2.2002442002442004,182.1364468864469,2.3253406731608472,2.313467938650616,13.53515625
936,87.40704354055346,32.50694830970203,7.576036112121128,,3691,4.506715506715507,526.3772893772893,1802,2.2002442002442004,182.1364468864469,2.3253406731608472,2.314551574314001,13.53515625
993,87.58561825554965,32.30991479347753,7.873673739765962,,3697,4.514041514041514,527.4706959706959,1803,2.2014652014652016,182.31868131868134,2.327821987062631,2.3150319701246502,13.53515625
1003,87.48559989344693,32.41728727823144,7.924190533334234,,3683,4.496947496947497,524.9194139194138,1801,2.199023199023199,181.95421245421247,2.327821987062631,2.3150319701246502,13.53515625
