ms,valve_a_pct,valve_b_pct,q_des,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
0,100.0,20.0,0.0,,2470,3.015873015873016,303.8690476190476,1481,1.8083028083028083,123.63919413919413,2.28631152497755,2.2938757469504294,-0.0
60,100.0,20.0,0.14457338133381561,,2613,3.1904761904761902,329.9285714285714,1425,1.73992673992674,113.43406593406594,2.22295543107455,2.293641651477816,0.263671875
68,100.0,20.0,0.2017150652348008,,2634,3.2161172161172162,333.75549450549454,1366,1.6678876678876677,102.68223443223441,2.22295543107455,2.293641651477816,0.52734375
127,100.0,20.0,0.8143689066657486,,2760,3.3699633699633704,356.717032967033,1447,1.766788766788767,117.44322344322347,2.3020918391641794,2.2938972557525092,3.69140625
135,100.0,20.0,0.8892932480005838,,2777,3.390720390720391,359.8150183150184,1403,1.7130647130647132,109.42490842490844,2.3020918391641794,2.2938972557525092,3.8671875
194,100.0,20.0,1.271851181146658,,2901,3.5421245421245424,382.41208791208794,1477,1.8034188034188035,122.91025641025641,2.220155330185954,2.2930541481722693,5.888671875
202,100.0,20.40090762720521,1.3288893546666272,,2901,3.5421245421245424,382.41208791208794,1441,1.7594627594627597,116.34981684981688,2.220155330185954,2.2930541481722693,5.9765625
260,99.15658246109491,22.213032963848363,1.5651748746669814,,3026,3.694749694749695,405.191391941392,1509,1.8424908424908426,128.74175824175828,2.2197069725940493,2.293854238450864,7.470703125
269,97.74167009128033,23.133543055699317,1.590059252235275,,3046,3.7191697191697193,408.8360805860806,1494,1.8241758241758241,126.00824175824174,2.2197069725940493,2.293854238450864,7.646484375
327,96.72041523044606,25.47327745196692,1.67,,3145,3.84004884004884,426.87728937728934,1548,1.89010989010989,135.84890109890108,2.2201040181435165,2.293429094056205,10.37109375
336,91.83939205302671,28.247232700519824,1.6769870053335567,,3160,3.8583638583638584,429.61080586080584,1545,1.8864468864468864,135.30219780219778,2.2201040181435165,2.293429094056205,10.37109375
393,92.51107824414918,27.428400092414947,1.8987648517643734,,3274,3.9975579975579976,450.38553113553115,1593,1.945054945054945,144.04945054945054,2.21976389579134,2.293641651477816,11.162109375
402,91.36000463836271,28.315689063998473,1.9534470089995857,,3289,4.015873015873016,453.1190476190476,1597,1.94993894993895,144.77838827838826,2.21976389579134,2.293641651477816,11.42578125
460,92.51795622560523,29.510527779435986,2.341443253332875,,3390,4.139194139194139,471.52472527472514,1644,2.0073260073260073,153.3434065934066,2.220784384831552,2.2933383614769536,13.53515625
469,88.24600803420462,31.515241302533646,2.4133454428238323,,3397,4.147741147741148,472.8003663003663,1654,2.0195360195360195,155.16575091575092,2.220784384831552,2.2933383614769536,13.53515625
526,88.53964459207995,32.14434636222941,3.232977631998539,,3503,4.277167277167277,492.1172161172161,1705,2.081807081807082,164.45970695970698,2.2199734955273343,2.2935223132119527,13.798828125
536,87.96679389822457,32.6529030423659,3.384538462788153,,3524,4.3028083028083035,495.94413919413927,1715,2.094017094017094,166.2820512820513,2.2199734955273343,2.2935223132119527,13.798828125
593,87.36174367259817,33.77464041583732,4.289467024942466,,3618,4.417582417582418,513.0741758241758,1768,2.158730158730159,175.94047619047623,2.2200359424118434,2.2932183381085234,13.798828125
602,87.3132700231009,33.84861132040043,4.440585626362543,,3626,4.427350427350428,514.5320512820513,1774,2.1660561660561664,177.03388278388283,2.2200359424118434,2.2932183381085234,13.798828125
660,87.19216686524325,32.788112360572164,5.436090039999856,,3668,4.478632478632479,522.1858974358973,1801,2.199023199023199,181.95421245421247,2.3468981343366915,2.293614829095733,13.359375
669,87.12438064604022,32.84309308846407,5.567342886587779,,3661,4.47008547008547,520.9102564102565,1795,2.191697191697192,180.8608058608059,2.3468981343366915,2.293614829095733,13.271484375
726,87.20752970902748,32.72190397799142,6.167463584454118,,3679,4.492063492063492,524.1904761904763,1801,2.199023199023199,181.95421245421247,2.349648642326165,2.350272861056321,13.0078125
736,87.14198273365241,32.95672750545692,6.272217738666727,,3683,4.496947496947497,524.9194139194138,1805,2.203907203907204,182.68315018315022,2.349648642326165,2.350272861056321,13.0078125
793,87.39058568035907,32.57554061648527,6.797330481618565,,3684,4.498168498168498,525.1016483516484,1802,2.2002442002442004,182.1364468864469,2.356778695976464,2.333398660996611,13.0078125
803,87.35058804255385,32.616343174189524,6.879654200000077,,3681,4.4945054945054945,524.554945054945,1803,2.2014652014652016,182.31868131868134,2.356778695976464,2.333398660996611,13.0078125
859,87.26689733427395,32.84260674491627,7.259906405333672,,3696,4.512820512820513,527.2884615384615,1809,2.208791208791209,183.41208791208794,2.3529924719716044,2.3411995447869876,13.271484375
